Method,Protein,Enzyme–substrate pair,Reaction,Reference,Label assignment
KcatNet,1.7778,1.5404,1.2023,2.3251,1.5827
TurNuP,1.7045,1.3047,1.2214,1.6778,1.3063
PMAK,1.5418,1.2739,1.2513,1.5525,1.2684
KinForm-L,1.7108,1.4176,1.2909,1.9987,1.4023
CataPro,1.5948,1.5168,1.1418,1.8826,1.5888
CatPred,1.6475,1.5194,1.2538,1.638,1.4602
UniKP,1.9164,1.5845,1.2244,2.2992,1.6891
PreTKcat,1.7353,1.4194,1.133,2.0623,1.5486
SELFprot,1.8794,1.6814,1.1543,1.8831,1.6468
DLKcat,1.9767,1.6658,1.3322,2.2243,1.6409
GO-HKP,2.2172,1.7603,1.3615,3.0788,1.9629
DEKP-public-retrained,2.0946,1.8122,1.2918,3.2981,2.1752
