Method,Within 2-fold (%),2-fold CI low,2-fold CI high,Within 10-fold (%),10-fold CI low,10-fold CI high
KcatNet,35.313,32.6645,37.8812,74.1573,71.7476,76.6453
TurNuP,34.957,32.0893,37.8223,71.5377,68.7679,74.212
PMAK,29.2264,26.5521,31.9962,77.3639,74.8806,79.7517
KinForm-L,22.2222,19.3416,25.1029,69.1358,65.7064,72.428
CataPro,23.1942,20.8668,25.6822,71.1878,68.6978,73.8383
CatPred,29.0657,26.2976,31.6609,68.8581,66.1765,71.5398
UniKP,18.0578,15.8909,20.2247,65.4896,62.7608,68.14
PreTKcat,17.0144,14.9278,19.1011,59.7913,56.9823,62.5201
SELFprot,23.9165,21.5871,26.4045,63.7239,60.9952,66.3724
DLKcat,27.6083,25.1204,30.0161,58.427,55.616,61.1557
GO-HKP,29.0453,26.5372,31.4725,59.6278,57.0388,62.2977
DEKP-public-retrained,14.366,12.4398,16.2921,50.4815,47.7528,53.13
