method_a,method_b,cluster_type,n_common_rows,n_paired_clusters,cluster_mean_error_a,cluster_mean_error_b,error_difference_a_minus_b,p_value_raw,p_value_bh_global,significant_bh_fdr_0.05,source_table
KcatNet,TurNuP,protein,1047,459,0.72138,0.707458,0.013922,0.1996249,0.221805,False,Table S14
KcatNet,TurNuP,pair,1047,796,0.747742,0.725604,0.022138,0.0241337,0.040223,True,Table S14
KcatNet,TurNuP,reaction,1047,640,0.736471,0.728694,0.007777,0.060173,0.092574,False,Table S14
KcatNet,TurNuP,reference,1047,556,0.725006,0.711757,0.013249,0.1325635,0.165704,False,Table S14
KcatNet,TurNuP,label_assignment,1047,761,0.701026,0.710538,-0.009512,0.1740117,0.20472,False,Table S14
KcatNet,PMAK,protein,1047,459,0.72138,0.762459,-0.041079,0.0183168,0.033303,True,Table S14
KcatNet,PMAK,pair,1047,796,0.747742,0.762725,-0.014983,0.2268633,0.238803,False,Table S14
KcatNet,PMAK,reaction,1047,640,0.736471,0.750219,-0.013748,0.3352515,0.335252,False,Table S14
KcatNet,PMAK,reference,1047,556,0.725006,0.755594,-0.030588,0.0894551,0.119273,False,Table S14
KcatNet,PMAK,label_assignment,1047,761,0.701026,0.735168,-0.034142,0.0068626,0.01525,True,Table S14
TurNuP,PMAK,protein,1047,459,0.707458,0.762459,-0.055001,0.0011659,0.004535,True,Table S14
TurNuP,PMAK,pair,1047,796,0.725604,0.762725,-0.037121,0.001508,0.004535,True,Table S14
TurNuP,PMAK,reaction,1047,640,0.728694,0.750219,-0.021525,0.0722556,0.103222,False,Table S14
TurNuP,PMAK,reference,1047,556,0.711757,0.755594,-0.043837,0.0032703,0.008176,True,Table S14
TurNuP,PMAK,label_assignment,1047,761,0.710538,0.735168,-0.02463,0.0128679,0.025736,True,Table S14
