Method,n,Coverage (%),MAE log10,RMSE log10,Pearson,Spearman,R2 log10,Bias log10,Median absolute error log10,Within 2-fold (%),Within 10-fold (%),Inference regime,Modality,display_method,inference_regime
KcatNet,1246,100.0,0.7111485963256501,1.0054730312411355,0.4519918726337549,0.4649932306652427,0.172200870773263,0.0372409957007142,0.4863450663757325,35.313001605136435,74.15730337078652,Released sequence+substrate checkpoint,sequence + substrate SMILES,KcatNet,Released sequence+substrate checkpoint
CataPro,1246,100.0,0.796107862704658,1.0191924668492005,0.4620599414046753,0.466856046108433,0.14945651499492,-0.1342130483773581,0.6814234346618653,23.19422150882825,71.18780096308186,Released sequence+substrate checkpoint,sequence + substrate SMILES,CataPro,Released sequence+substrate checkpoint
UniKP,1246,100.0,0.8917824674499502,1.10882375748308,0.4130099330305679,0.4325606709792049,-0.0067210678937117,-0.4611713928011017,0.7658616318915626,18.05778491171749,65.48956661316213,Released sequence+substrate checkpoint,sequence + substrate SMILES,UniKP,Released sequence+substrate checkpoint
SELFprot,1246,100.0,0.939967421410154,1.2193101590041378,0.3744309772836872,0.3736212568459027,-0.2173416938394354,-0.0976652447605364,0.781840516939163,23.91653290529695,63.7239165329053,Released sequence+substrate checkpoint,sequence + substrate SMILES,SELFprot,Released sequence+substrate checkpoint
DLKcat,1246,100.0,0.973867234633991,1.3217999342000477,0.3187228581262547,0.3077873599627378,-0.4305912490705914,-0.450950250630031,0.7449403030240622,27.608346709470304,58.42696629213483,Released sequence+substrate checkpoint,sequence + substrate SMILES,DLKcat,Released sequence+substrate checkpoint
PreTKcat,1246,100.0,0.9226724170203252,1.1463915590891396,0.3658119176299902,0.3924269939296601,-0.0760936574888337,-0.4758296452115,0.7657588085906506,17.014446227929376,59.79133226324238,Temperature-conditioned public retraining,sequence + substrate SMILES + temperature,PreTKcat,Temperature-conditioned public retraining
TurNuP,1047,84.02889245585875,0.7129826633868195,0.9977125228637708,0.4029434029353708,0.4183043972212784,0.1187129551092985,0.0375029336275071,0.4867571000000001,34.95702005730659,71.53772683858644,Reaction-aware checkpoint,reaction + enzyme,TurNuP,Reaction-aware checkpoint
PMAK,1047,84.02889245585875,0.7231066561965616,0.9867474435761984,0.4067768745090429,0.443196955153625,0.1379775844635831,0.0723572249148042,0.5272384999999999,29.22636103151863,77.36389684813754,Reaction-aware checkpoint,reaction + enzyme,PMAK,Reaction-aware checkpoint
KinForm-L,729,58.507223113964685,0.7841370249160359,0.9868375830603664,0.5534218086561731,0.5486947994534199,0.2162768087111382,-0.329713111885229,0.660405362651825,22.22222222222222,69.1358024691358,Method-specific checkpoint subset,sequence + substrate SMILES + released features,KinForm-L,Method-specific checkpoint subset
CatPred,1156,92.776886035313,0.8395067747031589,1.1492276383858104,0.4229900660319217,0.4245488296769002,-0.0774808066574925,0.0408386365417734,0.6249186561763928,29.06574394463668,68.85813148788927,Method-specific checkpoint subset,sequence + substrate SMILES,CatPred,Method-specific checkpoint subset
DEKP-public-retrained,1246,100.0,1.0691431600416428,1.2740705393447636,0.0967222576045198,0.1136823910854894,-0.3291410136761028,-0.6316814111044359,0.9911875786075592,14.365971107544144,50.48154093097913,Structure-aware public retraining,sequence + substrate SMILES + structure,DEKP,Structure-aware public retraining
GO-HKP,1236,99.19743178170144,1.0308952495371242,1.394961091928623,0.3091785213814602,0.3221779714271335,-0.5855058734617586,0.8886161542138802,0.7422080308175216,29.045307443365697,59.62783171521036,Functional-assignment baseline,GO hierarchy + functional assignment,GO-HKP,Functional-assignment baseline
