method,common_subset_total_rows,n,mae_log10,bias_log10_common_subset,within_0.3_fraction_common_subset,within_1.0_fraction_common_subset,scope,subset,subset_total_rows,coverage_within_subset_percent,rmse_log10,pearson_log10,spearman_log10,r2_log10,bias_log10,median_abs_error_log10,within_0.3_log10_fraction,within_1.0_log10_fraction
KcatNet,1047.0,1047,0.7188989113436972,0.0137890026043646,0.3581661891117478,0.7363896848137536,"Reaction-complete subset (scope n=1,047; strictly common)",,,,,,,,,,,
TurNuP,1047.0,1047,0.7129826633868195,0.0375029336275071,0.3495702005730659,0.7153772683858644,"Reaction-complete subset (scope n=1,047; strictly common)",,,,,,,,,,,
PMAK,1047.0,1047,0.7231066561965616,0.0723572249148042,0.2922636103151863,0.7736389684813754,"Reaction-complete subset (scope n=1,047; strictly common)",,,,,,,,,,,
CataPro,1047.0,1047,0.8024265131183569,-0.1452196892387549,0.2263610315186246,0.7039159503342884,"Reaction-complete subset (scope n=1,047; strictly common)",,,,,,,,,,,
KcatNet,,1156,0.7259452008483624,,,,"CatPred-accessible scope (scope n=1,156; available case)",catpred_accessible_scope_1156_available_case,1156.0,100.0,1.023915274457746,0.4319478863569623,0.4435489316401452,0.1446862335682098,0.069970015999415,0.5002239743614196,0.3391003460207612,0.7396193771626297
TurNuP,,976,0.7181448259795081,,,,"CatPred-accessible scope (scope n=1,156; available case)",catpred_accessible_scope_1156_available_case,1156.0,84.42906574394463,1.0135433312628497,0.3911857706353745,0.4070498489705185,0.0960829723902199,0.0777933008381147,0.48097385,0.3545081967213114,0.7202868852459017
PMAK,,976,0.7340850612579919,,,,"CatPred-accessible scope (scope n=1,156; available case)",catpred_accessible_scope_1156_available_case,1156.0,84.42906574394463,1.0071849896092004,0.3876800409883275,0.4118580772916608,0.1073886270373969,0.1107678464915983,0.52173227,0.2940573770491803,0.7581967213114754
CataPro,,1156,0.8274428373410214,,,,"CatPred-accessible scope (scope n=1,156; available case)",catpred_accessible_scope_1156_available_case,1156.0,100.0,1.049041761017805,0.4224666832238695,0.4164038972406952,0.1021930289092346,-0.1265632322074182,0.7143541139770508,0.2102076124567474,0.6903114186851211
CatPred,,1156,0.8395067747031589,,,,"CatPred-accessible scope (scope n=1,156; available case)",catpred_accessible_scope_1156_available_case,1156.0,100.0,1.1492276383858104,0.4229900660319217,0.4245488296769002,-0.0774808066574925,0.0408386365417734,0.6249186561763928,0.2906574394463668,0.6885813148788927
KcatNet,,729,0.6769022660862901,,,,KinForm-L-accessible scope (scope n=729; available case),kinform_accessible_scope_729_available_case,729.0,100.0,0.9930562729588274,0.5212667057596676,0.5247581725920946,0.2063682121712723,0.2055301944046869,0.4428480066680909,0.419753086419753,0.766803840877915
TurNuP,,646,0.6841664022089784,,,,KinForm-L-accessible scope (scope n=729; available case),kinform_accessible_scope_729_available_case,729.0,88.61454046639231,0.9818453041710548,0.4414026440664068,0.4281926604731875,0.0945714789087093,0.1784990041718266,0.4101148999999999,0.4086687306501548,0.7291021671826625
PMAK,,646,0.6952386712814241,,,,KinForm-L-accessible scope (scope n=729; available case),kinform_accessible_scope_729_available_case,729.0,88.61454046639231,0.9587332989407577,0.4424582665355757,0.4495411675579264,0.1366961867268795,0.1756996282597523,0.4896092499999999,0.2956656346749226,0.7708978328173375
CataPro,,729,0.8096148375789928,,,,KinForm-L-accessible scope (scope n=729; available case),kinform_accessible_scope_729_available_case,729.0,100.0,1.040108841299022,0.4467098998076758,0.4441490940589356,0.1293794530615774,-0.0050935576617468,0.6746389991493225,0.2002743484224965,0.6982167352537723
KinForm-L,,729,0.7841370249160359,,,,KinForm-L-accessible scope (scope n=729; available case),kinform_accessible_scope_729_available_case,729.0,100.0,0.9868375830603664,0.5534218086561731,0.5486947994534199,0.2162768087111382,-0.329713111885229,0.660405362651825,0.2222222222222222,0.691358024691358
