method,species,n_rows,n_clusters,large_error_fraction,ci_low_95,ci_high_95,bootstrap_unit,bootstrap_replicates,seed
KcatNet,ecoli,781,350,0.3175416133162612,0.25068355129222597,0.3861641654200647,protein_cluster,2000,20260812
KcatNet,yeast,465,164,0.15913978494623657,0.11465446363203216,0.21212121212121213,protein_cluster,2000,20260813
CataPro,ecoli,781,350,0.3380281690140845,0.28619333740103575,0.39038305323875316,protein_cluster,2000,20261812
CataPro,yeast,465,164,0.20430107526881722,0.15010078034715593,0.2719334882552443,protein_cluster,2000,20261813
TurNuP,ecoli,734,333,0.31607629427792916,0.2493198384178199,0.3862563266871165,protein_cluster,2000,20262812
TurNuP,yeast,313,126,0.2108626198083067,0.12721801266065608,0.3264824223095749,protein_cluster,2000,20262813
PMAK,ecoli,734,333,0.2452316076294278,0.19577158603796693,0.30043456790123446,protein_cluster,2000,20263812
PMAK,yeast,313,126,0.18210862619808307,0.12539004561890177,0.2519869808692685,protein_cluster,2000,20263813
CatPred,ecoli,755,350,0.33642384105960266,0.27638305961070564,0.39311042089249487,protein_cluster,2000,20264812
CatPred,yeast,401,164,0.26433915211970077,0.17687989710451657,0.35452681336593317,protein_cluster,2000,20264813
KinForm-L,ecoli,492,206,0.266260162601626,0.2178752433553411,0.32152091876151423,protein_cluster,2000,20265812
KinForm-L,yeast,237,96,0.39662447257383965,0.226409478885894,0.5410741516852182,protein_cluster,2000,20265813
