method,contrast,n_first,n_second,mae_difference,ci_low_95,ci_high_95,bootstrap_unit,bootstrap_replicates,n_clusters_first,n_clusters_second,n_shared_clusters,n_union_clusters,bootstrap_scheme,seed_first,seed_second
KcatNet,E. coli – S. cerevisiae,781,465,0.20448697414734052,0.06741563038317899,0.32008990250483466,protein_cluster,2000,350,164,0,514,independent protein-cluster resampling within disjoint groups,20270812,20270813
KcatNet,Supported other reactant – supported currency/cofactor,496,256,-0.034962653914174635,-0.22346110654753695,0.13059671122132183,protein_cluster,2000,370,141,69,442,joint protein-cluster resampling across both groups,20270822,20270822
CataPro,E. coli – S. cerevisiae,781,465,0.14560427464019443,0.0335058750983595,0.2500376987548744,protein_cluster,2000,350,164,0,514,independent protein-cluster resampling within disjoint groups,20271812,20271813
CataPro,Supported other reactant – supported currency/cofactor,496,256,-0.02796234166912903,-0.18002575409187668,0.12748677498773256,protein_cluster,2000,370,141,69,442,joint protein-cluster resampling across both groups,20271822,20271822
TurNuP,E. coli – S. cerevisiae,734,313,0.07893798525431572,-0.05686265440423397,0.22056764509020918,protein_cluster,2000,333,126,0,459,independent protein-cluster resampling within disjoint groups,20272812,20272813
TurNuP,Supported other reactant – supported currency/cofactor,432,178,-0.03424886992746057,-0.17522679708391053,0.10122964010770051,protein_cluster,2000,329,123,60,392,joint protein-cluster resampling across both groups,20272822,20272822
PMAK,E. coli – S. cerevisiae,734,313,0.0849363086312881,-0.04654532936714979,0.2003107158018022,protein_cluster,2000,333,126,0,459,independent protein-cluster resampling within disjoint groups,20273812,20273813
PMAK,Supported other reactant – supported currency/cofactor,432,178,-0.023278297852054708,-0.17051636442649212,0.10845456594965602,protein_cluster,2000,329,123,60,392,joint protein-cluster resampling across both groups,20273822,20273822
CatPred,E. coli – S. cerevisiae,755,401,0.09798519443314002,-0.06314040886881835,0.25596895949048204,protein_cluster,2000,350,164,0,514,independent protein-cluster resampling within disjoint groups,20274812,20274813
CatPred,Supported other reactant – supported currency/cofactor,496,256,0.07649042993568866,-0.09534686613468438,0.24043832492502817,protein_cluster,2000,370,141,69,442,joint protein-cluster resampling across both groups,20274822,20274822
KinForm-L,E. coli – S. cerevisiae,492,237,-0.08362613612066538,-0.23375649093044598,0.085396274715718,protein_cluster,2000,206,96,0,302,independent protein-cluster resampling within disjoint groups,20275812,20275813
KinForm-L,Supported other reactant – supported currency/cofactor,328,138,0.0987923471705392,-0.0316437046587545,0.22749625511438656,protein_cluster,2000,237,84,57,264,joint protein-cluster resampling across both groups,20275822,20275822
