method,common_subset_total_rows,n_common_subset,mae_log10_common_subset,bias_log10_common_subset,within_0.3_fraction_common_subset,within_1.0_fraction_common_subset
KcatNet,1047,1047,0.7188989113436972,0.01378900260436464,0.3581661891117479,0.7363896848137536
CataPro,1047,1047,0.8024265131183569,-0.145219689238755,0.2263610315186246,0.7039159503342884
PreTKcat,1047,1047,0.925593698722722,-0.5132713259675086,0.1795606494746896,0.5969436485195797
UniKP,1047,1047,0.9010697104904655,-0.4775384475728823,0.174785100286533,0.6523400191021967
SELFprot,1047,1047,0.9328426038149009,-0.1156794954075244,0.2454632282712512,0.6341929321872015
DLKcat,1047,1047,0.9857706603409919,-0.4724919929051599,0.2750716332378224,0.5873925501432665
TurNuP,1047,1047,0.7129826633868195,0.03750293362750716,0.3495702005730659,0.7153772683858644
PMAK,1047,1047,0.7231066561965616,0.0723572249148042,0.2922636103151863,0.7736389684813754
KinForm-L,1047,646,0.7828384770448582,-0.3779340061858433,0.2306501547987616,0.6888544891640866
CatPred,1047,976,0.8321975487359679,0.01018019429291234,0.2961065573770492,0.6936475409836066
DEKP-public-retrained,1047,1047,1.080984745478814,-0.6916845776554259,0.1289398280802292,0.498567335243553
GO-HKP,1047,1037,1.061765786822206,0.9059792213174488,0.2449373191899711,0.5747348119575699
,,,,,,
