method,stratification,group,n,abs_error_gt_1_n,abs_error_gt_1_fraction,MAE_log10
KcatNet,species,E. coli,781,248,0.3175416133162612,0.7874619534512627
KcatNet,species,S. cerevisiae,465,74,0.1591397849462366,0.5829749793039222
KcatNet,experimental_source,BRENDA only,683,174,0.2547584187408492,0.7240748005325901
KcatNet,experimental_source,SABIO-RK only,468,122,0.2606837606837607,0.6829700989441633
KcatNet,experimental_source,BRENDA + SABIO-RK,95,26,0.2736842105263158,0.7570321679171839
KcatNet,substrate_role (substrate-supported records only),other reactant,496,118,0.2379032258064516,0.7135373976304625
KcatNet,substrate_role (substrate-supported records only),currency/cofactor,256,77,0.30078125,0.7485000515446372
KcatNet,substrate_role (substrate-supported records only),carrier-linked variable,26,5,0.1923076923076923,0.8050223959905771
CataPro,species,E. coli,781,264,0.3380281690140845,0.850446536627363
CataPro,species,S. cerevisiae,465,95,0.2043010752688172,0.7048422619871686
CataPro,experimental_source,BRENDA only,683,211,0.3089311859443631,0.8192090991882103
CataPro,experimental_source,SABIO-RK only,468,115,0.2457264957264957,0.7639308082033793
CataPro,experimental_source,BRENDA + SABIO-RK,95,33,0.3473684210526316,0.7885364625818403
CataPro,substrate_role (substrate-supported records only),other reactant,496,152,0.3064516129032258,0.8040155776931774
CataPro,substrate_role (substrate-supported records only),currency/cofactor,256,82,0.3203125,0.8319779193623065
CataPro,substrate_role (substrate-supported records only),carrier-linked variable,26,10,0.3846153846153846,0.8712578768560006
TurNuP,species,E. coli,734,232,0.3160762942779292,0.7365811250722071
TurNuP,species,S. cerevisiae,313,66,0.2108626198083067,0.6576431398178914
TurNuP,experimental_source,BRENDA only,546,121,0.2216117216117216,0.6621914011648351
TurNuP,experimental_source,SABIO-RK only,414,145,0.3502415458937198,0.7602563991545894
TurNuP,experimental_source,BRENDA + SABIO-RK,87,32,0.367816091954023,0.8067838422988506
TurNuP,substrate_role (substrate-supported records only),other reactant,432,97,0.224537037037037,0.6634280177523147
TurNuP,substrate_role (substrate-supported records only),currency/cofactor,178,44,0.247191011235955,0.6976768876797753
TurNuP,substrate_role (substrate-supported records only),carrier-linked variable,23,12,0.5217391304347826,0.9112743321739127
PMAK,species,E. coli,734,180,0.2452316076294278,0.7484983129316075
PMAK,species,S. cerevisiae,313,57,0.1821086261980831,0.6635620043003194
PMAK,experimental_source,BRENDA only,546,130,0.2380952380952381,0.722535800325641
PMAK,experimental_source,SABIO-RK only,414,86,0.2077294685990338,0.7114829647826086
PMAK,experimental_source,BRENDA + SABIO-RK,87,21,0.2413793103448276,0.7820020073563217
PMAK,substrate_role (substrate-supported records only),other reactant,432,102,0.2361111111111111,0.7205579125412037
PMAK,substrate_role (substrate-supported records only),currency/cofactor,178,44,0.247191011235955,0.7438362103932584
PMAK,substrate_role (substrate-supported records only),carrier-linked variable,23,5,0.2173913043478261,0.8197764326086958
KinForm-L,species,E. coli,492,131,0.266260162601626,0.7569499271648732
KinForm-L,species,S. cerevisiae,237,94,0.3966244725738396,0.8405760632855386
KinForm-L,experimental_source,BRENDA only,414,123,0.2971014492753623,0.8037123832711474
KinForm-L,experimental_source,SABIO-RK only,254,90,0.3543307086614173,0.795138055369686
KinForm-L,experimental_source,BRENDA + SABIO-RK,61,12,0.1967213114754098,0.6054737446825409
KinForm-L,substrate_role (substrate-supported records only),other reactant,328,100,0.3048780487804878,0.8041418241186467
KinForm-L,substrate_role (substrate-supported records only),currency/cofactor,138,32,0.2318840579710145,0.7053494769481075
KinForm-L,substrate_role (substrate-supported records only),carrier-linked variable,9,3,0.3333333333333333,0.9526754411261198
CatPred,species,E. coli,755,254,0.3364238410596027,0.8734964485506409
CatPred,species,S. cerevisiae,401,106,0.2643391521197008,0.7755112541175009
CatPred,experimental_source,BRENDA only,683,193,0.2825768667642752,0.8082367095181022
CatPred,experimental_source,SABIO-RK only,378,130,0.3439153439153439,0.8860220064589894
CatPred,experimental_source,BRENDA + SABIO-RK,95,37,0.3894736842105263,0.8792404264683152
CatPred,substrate_role (substrate-supported records only),other reactant,496,154,0.3104838709677419,0.8400116124644105
CatPred,substrate_role (substrate-supported records only),currency/cofactor,256,69,0.26953125,0.7635211825287218
CatPred,substrate_role (substrate-supported records only),carrier-linked variable,26,7,0.2692307692307692,0.9017819463712874
