method,audit_strength,evaluated_n,audited_n,exact_pair_n,exact_pair_MAE_log10,exact_pair_within_10fold_fraction,joint_near_neighbor_n,joint_near_neighbor_MAE_log10,joint_near_neighbor_within_10fold_fraction,no_joint_neighbor_n,no_joint_neighbor_MAE_log10,no_joint_neighbor_within_10fold_fraction,sequence_identity_threshold_percent,chemical_Tanimoto_threshold
KcatNet,direct fit-split audit,1246,1246,102,0.3077867342940288,0.9117647058823528,96,0.6388772904034505,0.8125,1048,0.7570273704628223,0.7185114503816794,80,0.8
CataPro,source/fold-union proximity only,1246,1246,390,0.719017710256572,0.764102564102564,31,0.8009711420390221,0.7741935483870968,825,0.83236773882028,0.6848484848484848,80,0.8
PreTKcat,direct retraining-corpus audit,1246,1246,0,,,99,0.8048688679315115,0.7373737373737373,1147,0.9328402909172672,0.5858761987794245,80,0.8
UniKP,source-corpus proximity only,1246,1246,288,0.7454729798361206,0.7638888888888888,50,0.9135500647196636,0.58,908,0.936990344728912,0.6244493392070485,80,0.8
SELFprot,unknown,1246,0,,,,,,,,,,80,0.8
DLKcat,source-corpus proximity only,1246,1246,288,0.6798506534076993,0.7326388888888888,50,0.8796620119623825,0.74,908,1.072311107460811,0.5286343612334802,80,0.8
TurNuP,unknown,1047,0,,,,,,,,,,80,0.8
PMAK,released-fold union audit,1047,1047,91,0.4767062120417582,0.8681318681318682,98,0.4882115272448978,0.8979591836734694,858,0.7760695502004661,0.7494172494172494,80,0.8
KinForm-L,direct fit-corpus audit,729,729,381,0.6824221454365165,0.7559055118110236,40,0.9028011339234044,0.475,308,0.894548728556952,0.6396103896103896,80,0.8
CatPred,production-corpus proximity only,1156,1156,520,0.7613235624303156,0.7192307692307692,28,0.9471049142813972,0.5714285714285714,608,0.9014188182454088,0.6677631578947368,80,0.8
DEKP-public-retrained,direct retraining-corpus audit,1246,1246,0,,,157,1.128987199100207,0.4522292993630573,1089,1.06051550702769,0.512396694214876,80,0.8
GO-HKP,not applicable,1236,0,,,,,,,,,,80,0.8
