entry_id,species,reaction_id,gene_id,uniprot_id,ec_number,substrate_name,substrate_smiles,experimental_kcat_s^-1,experimental_log10_kcat,KcatNet_predicted_kcat_s^-1,CataPro_predicted_kcat_s^-1,PreTKcat_predicted_kcat_s^-1,UniKP_predicted_kcat_s^-1,SELFprot_predicted_kcat_s^-1,DLKcat_predicted_kcat_s^-1,TurNuP_predicted_kcat_s^-1,PMAK_predicted_kcat_s^-1,KinForm-L_predicted_kcat_s^-1,CatPred_predicted_kcat_s^-1,DEKP_public_retrained_predicted_kcat_s^-1,GO-HKP_predicted_kcat_s^-1
ecoli|CPPPGO|g1|cpppg3_c,E. coli,CPPPGO,b2436,P36553,1.3.3.3,Coproporphyrinogen III,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C,0.003,-2.52288,0.9351184227113442,0.1237900049357324,0.3912857849234577,0.9673479702343538,4.482145184188022,13.15948321912867,0.9024466268928192,5.953815193313165,,1.505499033277644,0.5772443709135419,226.8350145787655
ecoli|GTHOr|g1|gthox_c,E. coli,GTHOr,b3500,P06715,1.8.1.7,Oxidized glutathione,C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+])C(=O)NCC(=O)[O-])[C@@H](C(=O)[O-])[NH3+],641,2.80686,69.09938804358333,28.31325301465239,8.653524559896589,24.50306493779177,346.769942696764,281.203431685237,31.87231434113654,138.8854658924867,25.18111955524105,12669.95060702145,4.486271669796459,136.2454183611817
ecoli|PFK_3|g1|atp_c,E. coli,PFK_3,b3916,P0A796,2.7.1.-;2.7.1.11,ATP C10H12N5O13P3,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,31.0185,1.49162,24.85571573070876,68.19072898030103,15.78547233510032,0.9246659866186632,0.3449031069587444,0.1675978095986569,11.76297841249081,16.05824205514224,3.090412645313065,3.658696180223687,2.263213265856608,120.4213825562484
ecoli|PFK_3|g1|s7p_c,E. coli,PFK_3,b3916,P0A796,2.7.1.-;2.7.1.11,Sedoheptulose 7-phosphate,C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)OP(=O)([O-])[O-],0.25,-0.60206,27.83657005690336,20.74898859772674,26.81805652381617,2.380486125419432,1.334839773277128,0.5628160434210606,11.76297841249081,16.05824205514224,1.890173839143178,4.459477130881643,2.041320473970994,120.4213825562484
ecoli|LEUTAi_num1|g1|4mop_c,E. coli,LEUTAi_num1,b3770,P0AB80,2.6.1.42;2.6.1.6;2.6.1.67,4-Methyl-2-oxopentanoate,CC(C)CC(=O)C(=O)[O-],12.39,1.09307,24.77918831374488,6.119895388599293,15.21185478982426,4.84110984367528,1.373319515244625,0.5276181674671725,23.94058729321676,22.32462127219724,5.553052971738952,6.006376854976383,5.634640782712283,120.7983675600902
ecoli|SHK3Dr|g1|3dhsk_c,E. coli,SHK3Dr,b3281,P15770,1.1.1.25;1.1.1.282,3-Dehydroshikimate,C1[C@H]([C@@H](C(=O)C=C1C(=O)[O-])O)O,236.667,2.37414,97.10308833092871,25.69858720263157,4.135597884879143,10.40873764848328,206.5284052880687,450.6270715885808,93.02061360865784,75.08674878113571,10.34080295854041,4468.421435783561,4.804633166716911,137.3775014227999
ecoli|SHK3Dr|g1|h_c,E. coli,SHK3Dr,b3281,P15770,1.1.1.25;1.1.1.282,H+,[H+],236.667,2.37414,56.19347420562944,148.7817712126979,6.042650930748993,11.14922078971544,8746.551023264834,67.77732391059935,93.02061360865784,75.08674878113571,18.34531742036268,,4.527431629408731,137.3775014227999
ecoli|SHK3Dr|g1|nadph_c,E. coli,SHK3Dr,b3281,P15770,1.1.1.25;1.1.1.282,Nicotinamide adenine dinucleotide phosphate - reduced,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O,236.667,2.37414,60.75070683709473,53.54855124359417,4.880155034766501,18.6839017182432,252.8022934959328,189.3673042409556,93.02061360865784,75.08674878113571,30.27546495064152,2756.4082513024,2.892365854006932,137.3775014227999
ecoli|APRAUR|g1|5apru_c,E. coli,APRAUR,b0414,P25539,1.1.1.193,5-Amino-6-(5'-phosphoribosylamino)uracil,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O,0.308333,-0.51098,42.0997598277071,1.620529546667234,2.371014759283884,1.920633609132717,1162.233931355643,7.252203550426684,9.926580068828734,24.42432667434872,,481.9400606787044,1.79601903721667,121.2386121623247
ecoli|APRAUR|g1|h_c,E. coli,APRAUR,b0414,P25539,1.1.1.193,H+,[H+],0.308333,-0.51098,42.65685076484287,12.45722857934468,6.960517784784647,3.612120206989122,672.1471199988694,2.31216349688601,9.926580068828734,24.42432667434872,,,4.601112342732519,121.2386121623247
ecoli|APRAUR|g1|nadph_c,E. coli,APRAUR,b0414,P25539,1.1.1.193,Nicotinamide adenine dinucleotide phosphate - reduced,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O,0.3125,-0.50515,40.28238493711545,4.327486422592142,3.649196151210988,3.100114274801505,379.7489852967668,8.009253250215666,9.926580068828734,24.42432667434872,,529.0313241245528,3.341566893763882,121.2386121623247
ecoli|ACP1_FMN_num1|g1|fmn_c,E. coli,ACP1_FMN_num1,b0446,P46891,3.1.3.102;3.1.3.2,FMN C17H19N4O9P,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)C1=NC(=O)[N-]C(=O)C1=N2,7.95,0.900367,11.24856275098204,4.853404417988487,1.786597878704726,2.762533421827599,0.166106407643979,30.47611109917348,4.783202859030673,11.32236627327451,,6.970368560140591,2.37742518065763,173.4279536089328
ecoli|RBFSb|g1|dmlz_c,E. coli,RBFSb,b1662,P0AFU8,2.5.1.9,"6,7-Dimethyl-8-(1-D-ribityl)lumazine",CC1=C(N(C2=NC(=NC(=O)C2=N1)[O-])C[C@@H]([C@@H]([C@@H](CO)O)O)O)C,0.00833333,-2.07918,6.155593383475857,1.419294935844946,3.083797915459875,1.105696980120169,5.415477264130083,0.3155955957506863,3.457683997651374,17.77784027653114,0.8669635548899958,8.479621541639457,2.845599289391072,205.7200000000001
ecoli|UPP3S|g1|hmbil_c,E. coli,UPP3S,b3804,P09126,4.2.1.75,Hydroxymethylbilane,C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-],500,2.69897,8.49710728959854,1.60697764411283,0.4505958020923495,10.74664062579362,951.6703482027344,139.1168103768008,3.356269683066988,10.87629303321854,7.010841313932952,712.1937427984731,2.335239202710437,173.4279536089328
ecoli|TMDPP|g1|thymd_c,E. coli,TMDPP,b4382,P07650,2.4.2.2;2.4.2.4,Thymidine C10H14N2O5,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,164,2.21484,19.49311965378636,8.252494937614104,93.9371338764941,2.422869005489043,1.192506749430526,13.63629316167363,133.2629429796426,80.68527805653717,1.460876564510413,1.102625747779639,2.023855047530683,117.6309551566891
ecoli|HCO3E_num1|g1|co2_c,E. coli,HCO3E_num1,b0126,P61517,4.2.1.1,CO2 CO2,C(=O)=O,570000,5.75587,74.14991046994935,45156.60261535877,791.8272895274047,10.23365610929583,369890.1750873408,213.6086522962629,14.76110943523064,44.46763170095866,,4985197.503925161,12.58783117467232,207.7825089273283
ecoli|IMPD|g1|imp_c,E. coli,IMPD,b2508,P0ADG7,1.1.1.205,IMP C10H11N4O8P,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O,13,1.11394,12.65782410828805,3.526026861001369,6.344065614115618,3.92442787221909,0.4203846842826404,3.888590916638486,3.320357604511749,13.51861811775087,2.462836942251707,2.755766329981156,1.943239485137777,115.0942408538242
ecoli|GLUTRS|g1|atp_c,E. coli,GLUTRS,b2400,P04805,6.1.1.-;6.1.1.17;6.1.1.24,ATP C10H12N5O13P3,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,1.15,0.0606978,13.38814932656788,7.330824723302643,2.587618167591006,1.687425508864871,8.903656379613246,10.3156963988685,,,0.7811843279910593,2.54822331264199,2.374335600101611,97.61360481285834
ecoli|GLUTRS|g1|glu__L_c,E. coli,GLUTRS,b2400,P04805,6.1.1.-;6.1.1.17;6.1.1.24,L-Glutamate,C(CC(=O)[O-])[C@@H](C(=O)[O-])[NH3+],1.145,0.0588055,13.33435416083906,4.842903335799637,3.78780553307834,1.089041149615893,8.892246734951232,6.028041495943958,,,1.881116340379445,2.665323448813572,4.860769788096937,97.61360481285834
