Method,n,Coverage (%),MAE log10,RMSE log10,Pearson,Spearman,R2 log10,Bias log10,Median absolute error log10,Within 2-fold (%),Within 10-fold (%),Inference regime,Modality
KcatNet,1246,100,0.7111485963256501,1.005473031241136,0.451991872633755,0.4649932306652427,0.1722008707732631,0.03724099570071426,0.4863450663757325,35.31300160513644,74.15730337078652,Released sequence+substrate checkpoint,sequence + substrate SMILES
CataPro,1246,100,0.796107862704658,1.019192466849201,0.4620599414046753,0.4668560461084331,0.1494565149949201,-0.1342130483773581,0.6814234346618653,23.19422150882825,71.18780096308186,Released sequence+substrate checkpoint,sequence + substrate SMILES
PreTKcat,1246,100,0.9226724170203252,1.14639155908914,0.3658119176299902,0.3924269939296601,-0.07609365748883379,-0.4758296452115,0.7657588085906506,17.01444622792938,59.79133226324238,Temperature-conditioned public retraining,sequence + substrate SMILES + temperature
UniKP,1246,100,0.8917824674499502,1.10882375748308,0.4130099330305679,0.4325606709792049,-0.006721067893711741,-0.4611713928011017,0.7658616318915626,18.05778491171749,65.48956661316213,Released sequence+substrate checkpoint,sequence + substrate SMILES
SELFprot,1246,100,0.9399674214101539,1.219310159004138,0.3744309772836872,0.3736212568459027,-0.2173416938394355,-0.09766524476053644,0.781840516939163,23.91653290529695,63.7239165329053,Released sequence+substrate checkpoint,sequence + substrate SMILES
DLKcat,1246,100,0.973867234633991,1.321799934200047,0.3187228581262547,0.3077873599627379,-0.4305912490705914,-0.450950250630031,0.7449403030240622,27.6083467094703,58.42696629213483,Released sequence+substrate checkpoint,sequence + substrate SMILES
TurNuP,1047,84.02889245585875,0.7129826633868195,0.9977125228637707,0.4029434029353708,0.4183043972212784,0.1187129551092986,0.03750293362750716,0.4867571000000002,34.95702005730659,71.53772683858644,Reaction-aware checkpoint,reaction + enzyme
PMAK,1047,84.02889245585875,0.7231066561965616,0.9867474435761985,0.4067768745090429,0.4431969551536251,0.1379775844635831,0.0723572249148042,0.5272384999999999,29.22636103151863,77.36389684813754,Reaction-aware checkpoint,reaction + enzyme
KinForm-L,729,58.50722311396468,0.7841370249160359,0.9868375830603665,0.5534218086561731,0.5486947994534199,0.2162768087111382,-0.3297131118852291,0.660405362651825,22.22222222222222,69.1358024691358,Method-specific checkpoint subset,sequence + substrate SMILES + released features
CatPred,1156,92.776886035313,0.8395067747031589,1.14922763838581,0.4229900660319217,0.4245488296769002,-0.07748080665749257,0.04083863654177341,0.6249186561763928,29.06574394463668,68.85813148788927,Method-specific checkpoint subset,sequence + substrate SMILES
DEKP-public-retrained,1246,100,1.069143160041643,1.274070539344764,0.0967222576045198,0.1136823910854894,-0.3291410136761028,-0.6316814111044359,0.9911875786075591,14.36597110754414,50.48154093097913,Structure-aware public retraining,sequence + substrate SMILES + structure
GO-HKP,1236,99.19743178170144,1.030895249537124,1.394961091928623,0.3091785213814602,0.3221779714271336,-0.5855058734617586,0.8886161542138802,0.7422080308175216,29.0453074433657,59.62783171521036,Functional-assignment baseline,GO hierarchy + functional assignment
