method,n,metric,estimate,bootstrap_ci_low_95,bootstrap_ci_high_95,bootstrap_replicates
KcatNet,1246,mae_log10,0.7111485963256501,0.6723210239686508,0.7519473108660042,2000
KcatNet,1246,spearman_log10,0.4649932306652427,0.4158646291807422,0.5123687641735108,2000
KcatNet,1246,within_0.3_fraction,0.3531300160513643,0.3266452648475121,0.3788121990369182,2000
KcatNet,1246,within_1.0_fraction,0.7415730337078652,0.7174759229534511,0.7664526484751204,2000
CataPro,1246,mae_log10,0.796107862704658,0.7606922262526277,0.8321338825080008,2000
CataPro,1246,spearman_log10,0.4668560461084331,0.4193481123146075,0.5144733702332935,2000
CataPro,1246,within_0.3_fraction,0.2319422150882825,0.2086677367576244,0.2568218298555377,2000
CataPro,1246,within_1.0_fraction,0.7118780096308186,0.686978330658106,0.7383828250401282,2000
PreTKcat,1246,mae_log10,0.9226724170203252,0.8850093379624995,0.9622070005077499,2000
PreTKcat,1246,spearman_log10,0.3924269939296601,0.3425026032751087,0.4421940618569342,2000
PreTKcat,1246,within_0.3_fraction,0.1701444622792938,0.1492776886035313,0.1910112359550562,2000
PreTKcat,1246,within_1.0_fraction,0.5979133226324238,0.5698234349919743,0.6252006420545746,2000
UniKP,1246,mae_log10,0.8917824674499502,0.8554777906919049,0.9288672448201447,2000
UniKP,1246,spearman_log10,0.4325606709792049,0.3859057525344293,0.4820404757201319,2000
UniKP,1246,within_0.3_fraction,0.1805778491171749,0.158908507223114,0.2022471910112359,2000
UniKP,1246,within_1.0_fraction,0.6548956661316212,0.6276083467094703,0.6814004815409308,2000
SELFprot,1246,mae_log10,0.9399674214101539,0.8974606613471479,0.9833834037786425,2000
SELFprot,1246,spearman_log10,0.3736212568459027,0.3212565367492044,0.4216832649314695,2000
SELFprot,1246,within_0.3_fraction,0.2391653290529695,0.2158707865168539,0.2640449438202247,2000
SELFprot,1246,within_1.0_fraction,0.637239165329053,0.6099518459069021,0.6637239165329053,2000
DLKcat,1246,mae_log10,0.973867234633991,0.925219753547078,1.023519083135057,2000
DLKcat,1246,spearman_log10,0.3077873599627379,0.252799038844305,0.3652620920162994,2000
DLKcat,1246,within_0.3_fraction,0.2760834670947031,0.2512038523274479,0.3001605136436597,2000
DLKcat,1246,within_1.0_fraction,0.5842696629213483,0.5561597110754415,0.6115569823434992,2000
TurNuP,1047,mae_log10,0.7129826633868195,0.6722466729042024,0.7547909056615328,2000
TurNuP,1047,spearman_log10,0.4183043972212784,0.3610368538663967,0.4722686722078831,2000
TurNuP,1047,within_0.3_fraction,0.3495702005730659,0.3208930276981853,0.3782234957020058,2000
TurNuP,1047,within_1.0_fraction,0.7153772683858644,0.6876790830945558,0.7421203438395415,2000
PMAK,1047,mae_log10,0.7231066561965616,0.6841244798377268,0.762730037416337,2000
PMAK,1047,spearman_log10,0.4431969551536251,0.3874326603244196,0.4984869594536124,2000
PMAK,1047,within_0.3_fraction,0.2922636103151863,0.2655205348615091,0.3199617956064947,2000
PMAK,1047,within_1.0_fraction,0.7736389684813754,0.7488061127029608,0.7975167144221585,2000
KinForm-L,729,mae_log10,0.7841370249160359,0.7427943644706664,0.8283828479802541,2000
KinForm-L,729,spearman_log10,0.5486947994534199,0.4886161867215535,0.6069996677833878,2000
KinForm-L,729,within_0.3_fraction,0.2222222222222222,0.1934156378600823,0.2510288065843622,2000
KinForm-L,729,within_1.0_fraction,0.691358024691358,0.6570644718792867,0.7242798353909465,2000
CatPred,1156,mae_log10,0.8395067747031589,0.7958467648181602,0.882878694203654,2000
CatPred,1156,spearman_log10,0.4245488296769002,0.3700615454447952,0.4750424122114999,2000
CatPred,1156,within_0.3_fraction,0.2906574394463668,0.2629757785467128,0.3166089965397924,2000
CatPred,1156,within_1.0_fraction,0.6885813148788927,0.6617647058823529,0.7153979238754326,2000
DEKP-public-retrained,1246,mae_log10,1.069143160041643,1.032073473939558,1.107300033801065,2000
DEKP-public-retrained,1246,spearman_log10,0.1136823910854894,0.06126181504033867,0.1677260262241537,2000
DEKP-public-retrained,1246,within_0.3_fraction,0.1436597110754414,0.1243980738362761,0.1629213483146068,2000
DEKP-public-retrained,1246,within_1.0_fraction,0.5048154093097913,0.4775280898876405,0.5313001605136437,2000
GO-HKP,1236,mae_log10,1.030895249537124,0.9800904417078253,1.081439730107286,2000
GO-HKP,1236,spearman_log10,0.3221779714271336,0.2715171486821275,0.3726202648998722,2000
GO-HKP,1236,within_0.3_fraction,0.290453074433657,0.2653721682847897,0.3147249190938511,2000
GO-HKP,1236,within_1.0_fraction,0.5962783171521036,0.5703883495145631,0.6229773462783171,2000
