Field,Value
Benchmark,kcat_benchmark_analysis
Benchmark version,1.2.0
Table schema version,1.2
Release date,2026-08-09
Data freeze date,2026-07-17
Artifact revision,1.2.0-r3
Artifact revision date,2026-08-07
Canonical rows,1246
E. coli rows,781
Yeast rows,465
Canonical benchmark SHA256,540561ebca641e1fce6776487487df8c3f62b5021a143f6ef4f097327878beda
E. coli source model,iML1515 version 1
E. coli model SHA256,851673127fe0379cb49af7ea12cd1a0f749eac05f710105bc752b1c199ea7285
Yeast source model,yeastGEM_v9.0.2 version 9.0.2
Yeast model SHA256,9fd2c572cace73c2ea835205617313554d1bf89f4ef077f49defbdfa219a4ad7
BRENDA release,2026.1
SABIO-RK data freeze,2026-07-17
Target space,log10(kcat / s^-1)
Bootstrap replicates,2000
Conditional row-bootstrap seed,20260710
Cluster-bootstrap seed,20260724
Primary uncertainty,"row-weighted MAE with protein, standardized sequence-substrate pair, reaction, reference, or label-assignment clusters resampled as intact units"
BRENDA archive SHA256,bb2549d02b7255de2272b35701c331493caad16b82eb38a41adb2e03bbb0d2e1
SABIO-RK parsed-table SHA256,aa605847d43970877c0998f4318b765a37ef96e8566761d121a08182456dc2b1
CKB snapshot commit,655bd1652197fc8c1fa21a8725f3919b443ecfd0
CKB database SHA256,5ce0cfea3a2d4c92a3432868bd2f0cba5bf3ce9bc6d74846b5b75771a5ebc469
PreTKcat training policy,exact sequence-parent identity excluded for the primary reconstruction; raw and near-excluded variants reported in S24
Quinate structure source,PubChem CID 6508; neutral C7H12O6 representation
