Method,Upstream revision,Runtime environment,Benchmark version,Evaluation date
KcatNet,7d370f69f9d1bbed517655d23d4d80bd76594321,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
CataPro,cc89b2c81768665cf6fd76dfda607ce88691f601c,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
PreTKcat,b7bc0562a9b8555a201c5f6c72fc2a660dcdb76d,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
UniKP,5cee5c4a64ba2daf59c63a5b5cbaa0cadf97ef26,"features: Python 3.10.13; prediction: Python 3.6.12, scikit-learn 0.23.1",1.2.0,2026-08-09
SELFprot,880c2e8fd685ed0e8d574382439f7d7ca75cc9d0,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
DLKcat,7c15d0d4a7ac029f9d75564d9f2a93874aeaaec7,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
TurNuP,local source archive; no Git commit recorded,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
PMAK,1b1bea4580ef7bb908f893d3b13213a1486bbb98,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
KinForm-L,f7a70eb1cd6723ba3a8d606432e522ea2b0fa9fd,Python 3.12.11; PyTorch 2.11.0+cu130; scikit-learn 1.7.2; joblib 1.4.2,1.2.0,2026-08-09
CatPred,8e72d324e9e6f7a9a24c3f8a720884c7c1740a9b,Python 3.11.13; PyTorch 2.6.0+cu124; scikit-learn 1.7.1; transformers 4.51.3,1.2.0,2026-08-09
DEKP-public-retrained,d2b8c1372b5c1855fd2de9aaadde19cf8cc7fa8d,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
GO-HKP,5d086a4ded543295250eb7db2a1ea4b1336e7f48,Python 3.10.13; PyTorch 2.1.2.post301; scikit-learn 1.3.2; transformers 4.35.2; RDKit 2026.03.3,1.2.0,2026-08-09
