method,training_corpus_status,training_corpus_source,training_rows_loaded,training_rows_standardized,evaluated_rows,audited_rows,exact_sequence_rows,exact_chemical_identity_rows,exact_pair_overlap_rows,near_neighbor_rows,no_joint_neighbor_rows_under_thresholds,neighbor_not_computed_rows,near_sequence_identity_threshold_percent,near_chemical_tanimoto_threshold,chemical_identity,global_nonidentity_chemical_similarity_status,publication_overlap_status,interpretation,exact_overlap_mae_log10,exact_overlap_within_1.0_fraction,near_neighbor_mae_log10,near_neighbor_within_1.0_fraction,no_joint_neighbor_mae_log10,no_joint_neighbor_within_1.0_fraction,source_rows_before_exclusion
KcatNet,available_fit_split,KcatNet_traindf.pkl (fit split),9407.0,9407.0,1246,1246,260.0,1161.0,102.0,96.0,1048.0,0.0,80.0,0.8,uncharged largest-fragment connectivity InChIKey; reaction mode uses direction-aware standardized reaction sides,not_computed; exact identity retained and joint sequence-conditioned similarities computed,unavailable_in_released_record-level corpus,"Exact and thresholded-neighbor proximity, not proof that a specific record was used for gradient fitting unless the corpus status says fit split. The no-joint-neighbor class means no single training record met both thresholds; exact sequence-only or chemical-identity-only matches may still be present.",0.3077867342940288,0.9117647058823528,0.6388772904034505,0.8125,0.7570273704628223,0.7185114503816794,
CataPro,available_source_corpus_union,kcat-data_0.4simi-10fold.csv (union across released folds),27658.0,27658.0,1246,1246,590.0,1012.0,390.0,31.0,825.0,0.0,80.0,0.8,uncharged largest-fragment connectivity InChIKey; reaction mode uses direction-aware standardized reaction sides,not_computed; exact identity retained and joint sequence-conditioned similarities computed,unavailable_in_released_record-level corpus,"Exact and thresholded-neighbor proximity, not proof that a specific record was used for gradient fitting unless the corpus status says fit split. The no-joint-neighbor class means no single training record met both thresholds; exact sequence-only or chemical-identity-only matches may still be present.",0.719017710256572,0.764102564102564,0.8009711420390221,0.7741935483870968,0.83236773882028,0.6848484848484848,
PreTKcat,available_effective_fit_corpus,kcat_merge_DLTKcat.csv after benchmark exact-pair exclusion,16001.0,16001.0,1246,1246,268.0,980.0,0.0,99.0,1147.0,0.0,80.0,0.8,uncharged largest-fragment connectivity InChIKey; reaction mode uses direction-aware standardized reaction sides,not_computed; exact identity retained and joint sequence-conditioned similarities computed,unavailable_in_released_record-level corpus,"Exact and thresholded-neighbor proximity, not proof that a specific record was used for gradient fitting unless the corpus status says fit split. The no-joint-neighbor class means no single training record met both thresholds; exact sequence-only or chemical-identity-only matches may still be present.",,,0.8048688679315115,0.7373737373737373,0.9328402909172672,0.5858761987794245,16249.0
UniKP,available_source_corpus,Kcat_combination_0918_wildtype_mutant.json,17010.0,17010.0,1246,1246,498.0,987.0,288.0,50.0,908.0,0.0,80.0,0.8,uncharged largest-fragment connectivity InChIKey; reaction mode uses direction-aware standardized reaction sides,not_computed; exact identity retained and joint sequence-conditioned similarities computed,unavailable_in_released_record-level corpus,"Exact and thresholded-neighbor proximity, not proof that a specific record was used for gradient fitting unless the corpus status says fit split. The no-joint-neighbor class means no single training record met both thresholds; exact sequence-only or chemical-identity-only matches may still be present.",0.7454729798361206,0.7638888888888888,0.9135500647196636,0.58,0.936990344728912,0.6244493392070485,
SELFprot,unknown_training_corpus_not_released_or_not_identified,,,,1246,0,,,,,,,80.0,0.8,,,unavailable,No auditable record-level corpus was found in the local release package; this must not be interpreted as zero overlap.,,,,,,,
DLKcat,available_source_corpus_only,Kcat_combination_0918.json (source corpus; effective checkpoint split unavailable),17010.0,17010.0,1246,1246,498.0,987.0,288.0,50.0,908.0,0.0,80.0,0.8,uncharged largest-fragment connectivity InChIKey; reaction mode uses direction-aware standardized reaction sides,not_computed; exact identity retained and joint sequence-conditioned similarities computed,unavailable_in_released_record-level corpus,"Exact and thresholded-neighbor proximity, not proof that a specific record was used for gradient fitting unless the corpus status says fit split. The no-joint-neighbor class means no single training record met both thresholds; exact sequence-only or chemical-identity-only matches may still be present.",0.6798506534076993,0.7326388888888888,0.8796620119623825,0.74,1.072311107460811,0.5286343612334802,
TurNuP,unknown_training_corpus_not_released_or_not_identified,,,,1047,0,,,,,,,80.0,0.8,,,unavailable,No auditable record-level corpus was found in the local release package; this must not be interpreted as zero overlap.,,,,,,,
PMAK,available_checkpoint_training_union,union of five released reaction-cold training folds,3416.0,3416.0,1047,1047,267.0,462.0,91.0,98.0,858.0,0.0,80.0,0.8,uncharged largest-fragment connectivity InChIKey; reaction mode uses direction-aware standardized reaction sides,not_computed; exact identity retained and joint sequence-conditioned similarities computed,unavailable_in_released_record-level corpus,"Exact and thresholded-neighbor proximity, not proof that a specific record was used for gradient fitting unless the corpus status says fit split. The no-joint-neighbor class means no single training record met both thresholds; exact sequence-only or chemical-identity-only matches may still be present.",0.4767062120417582,0.8681318681318682,0.4882115272448978,0.8979591836734694,0.7760695502004661,0.7494172494172494,
KinForm-L,available_fit_corpus,EITLEM_data/KCAT/kcat_data.json (training on all data in released code),35147.0,35147.0,729,729,652.0,608.0,381.0,40.0,308.0,0.0,80.0,0.8,uncharged largest-fragment connectivity InChIKey; reaction mode uses direction-aware standardized reaction sides,not_computed; exact identity retained and joint sequence-conditioned similarities computed,unavailable_in_released_record-level corpus,"Exact and thresholded-neighbor proximity, not proof that a specific record was used for gradient fitting unless the corpus status says fit split. The no-joint-neighbor class means no single training record met both thresholds; exact sequence-only or chemical-identity-only matches may still be present.",0.6824221454365165,0.7559055118110236,0.9028011339234044,0.475,0.894548728556952,0.6396103896103896,
CatPred,available_production_corpus,CatPred-DB kcat-random_trainvaltest.csv (production all-data corpus),23151.0,23151.0,1156,1156,589.0,1133.0,520.0,28.0,608.0,0.0,80.0,0.8,uncharged largest-fragment connectivity InChIKey; reaction mode uses direction-aware standardized reaction sides,not_computed; exact identity retained and joint sequence-conditioned similarities computed,unavailable_in_released_record-level corpus,"Exact and thresholded-neighbor proximity, not proof that a specific record was used for gradient fitting unless the corpus status says fit split. The no-joint-neighbor class means no single training record met both thresholds; exact sequence-only or chemical-identity-only matches may still be present.",0.7613235624303156,0.7192307692307692,0.9471049142813972,0.5714285714285714,0.9014188182454088,0.6677631578947368,
