method,common_subset_total_rows,n_common_subset,mae_log10_common_subset,bias_log10_common_subset,within_0.3_fraction_common_subset,within_1.0_fraction_common_subset
KcatNet,1047,1047,0.7188989113436972,0.013789002604364642,0.35816618911174786,0.7363896848137536
CataPro,1047,1047,0.8024265131183569,-0.14521968923875497,0.22636103151862463,0.7039159503342884
PreTKcat,1047,1047,0.925593698722722,-0.5132713259675086,0.17956064947468958,0.5969436485195797
UniKP,1047,1047,0.9010697104904655,-0.47753844757288233,0.17478510028653296,0.6523400191021967
SELFprot,1047,1047,0.9328426038149009,-0.11567949540752442,0.2454632282712512,0.6341929321872015
DLKcat,1047,1047,0.9857706603409919,-0.47249199290515986,0.27507163323782235,0.5873925501432665
TurNuP,1047,1047,0.7129826633868195,0.03750293362750716,0.3495702005730659,0.7153772683858644
PMAK,1047,1047,0.7231066561965616,0.0723572249148042,0.2922636103151863,0.7736389684813754
KinForm-L,1047,646,0.7828384770448582,-0.37793400618584333,0.2306501547987616,0.6888544891640866
CatPred,1047,976,0.8321975487359679,0.01018019429291234,0.29610655737704916,0.6936475409836066
DEKP-public-retrained,1047,1047,1.0809847454788142,-0.6916845776554259,0.12893982808022922,0.498567335243553
GO-HKP,1047,1037,1.0617657868222057,0.9059792213174488,0.24493731918997108,0.5747348119575699
