entry_id,species,reaction_id,gene_id,uniprot_id,ec_number,substrate_name,substrate_smiles,experimental_kcat_s^-1,experimental_log10_kcat,KcatNet_predicted_kcat_s^-1,CataPro_predicted_kcat_s^-1,PreTKcat_predicted_kcat_s^-1,UniKP_predicted_kcat_s^-1,SELFprot_predicted_kcat_s^-1,DLKcat_predicted_kcat_s^-1,TurNuP_predicted_kcat_s^-1,PMAK_predicted_kcat_s^-1,KinForm-L_predicted_kcat_s^-1,CatPred_predicted_kcat_s^-1,DEKP_public_retrained_predicted_kcat_s^-1,GO-HKP_predicted_kcat_s^-1
ecoli|CPPPGO|g1|cpppg3_c,ecoli,CPPPGO,b2436,P36553,1.3.3.3,Coproporphyrinogen III,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C,0.003,-2.52288,0.9351184227113442,0.1237900049357324,0.3912857849234577,0.9673479702343538,4.482145184188022,13.159483219128669,0.9024466268928192,5.953815193313165,,1.505499033277644,0.5772443709135419,226.83501457876545
ecoli|GTHOr|g1|gthox_c,ecoli,GTHOr,b3500,P06715,1.8.1.7,Oxidized glutathione,C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+])C(=O)NCC(=O)[O-])[C@@H](C(=O)[O-])[NH3+],641.0,2.80686,69.09938804358333,28.31325301465239,8.653524559896589,24.50306493779177,346.769942696764,281.20343168523704,31.872314341136537,138.8854658924867,25.18111955524105,12669.95060702145,4.486271669796459,136.2454183611817
ecoli|PFK_3|g1|atp_c,ecoli,PFK_3,b3916,P0A796,2.7.1.-;2.7.1.11,ATP C10H12N5O13P3,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,31.0185,1.49162,24.85571573070876,68.19072898030103,15.78547233510032,0.9246659866186632,0.3449031069587444,0.1675978095986569,11.76297841249081,16.05824205514224,3.0904126453130654,3.658696180223687,2.263213265856608,120.42138255624845
ecoli|PFK_3|g1|s7p_c,ecoli,PFK_3,b3916,P0A796,2.7.1.-;2.7.1.11,Sedoheptulose 7-phosphate,C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)OP(=O)([O-])[O-],0.25,-0.60206,27.83657005690336,20.748988597726743,26.81805652381617,2.380486125419432,1.3348397732771282,0.5628160434210606,11.76297841249081,16.05824205514224,1.8901738391431784,4.459477130881643,2.041320473970994,120.42138255624845
ecoli|LEUTAi_num1|g1|4mop_c,ecoli,LEUTAi_num1,b3770,P0AB80,2.6.1.42;2.6.1.6;2.6.1.67,4-Methyl-2-oxopentanoate,CC(C)CC(=O)C(=O)[O-],12.39,1.09307,24.77918831374488,6.119895388599293,15.211854789824258,4.84110984367528,1.3733195152446254,0.5276181674671725,23.94058729321676,22.324621272197238,5.553052971738952,6.006376854976383,5.634640782712283,120.7983675600902
ecoli|SHK3Dr|g1|3dhsk_c,ecoli,SHK3Dr,b3281,P15770,1.1.1.25;1.1.1.282,3-Dehydroshikimate,C1[C@H]([C@@H](C(=O)C=C1C(=O)[O-])O)O,236.667,2.37414,97.10308833092871,25.69858720263157,4.135597884879143,10.408737648483282,206.5284052880687,450.6270715885808,93.02061360865784,75.08674878113571,10.340802958540408,4468.421435783561,4.804633166716911,137.37750142279987
ecoli|SHK3Dr|g1|h_c,ecoli,SHK3Dr,b3281,P15770,1.1.1.25;1.1.1.282,H+,[H+],236.667,2.37414,56.19347420562944,148.7817712126979,6.042650930748993,11.14922078971544,8746.551023264834,67.77732391059935,93.02061360865784,75.08674878113571,18.34531742036268,,4.527431629408731,137.37750142279987
ecoli|SHK3Dr|g1|nadph_c,ecoli,SHK3Dr,b3281,P15770,1.1.1.25;1.1.1.282,Nicotinamide adenine dinucleotide phosphate - reduced,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O,236.667,2.37414,60.75070683709473,53.54855124359417,4.880155034766501,18.6839017182432,252.80229349593284,189.3673042409556,93.02061360865784,75.08674878113571,30.27546495064152,2756.4082513024,2.892365854006932,137.37750142279987
ecoli|APRAUR|g1|5apru_c,ecoli,APRAUR,b0414,P25539,1.1.1.193,5-Amino-6-(5'-phosphoribosylamino)uracil,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O,0.308333,-0.51098,42.099759827707096,1.6205295466672338,2.3710147592838844,1.9206336091327167,1162.233931355643,7.252203550426684,9.926580068828734,24.424326674348723,,481.9400606787044,1.7960190372166704,121.23861216232469
ecoli|APRAUR|g1|h_c,ecoli,APRAUR,b0414,P25539,1.1.1.193,H+,[H+],0.308333,-0.51098,42.65685076484287,12.457228579344678,6.960517784784647,3.612120206989122,672.1471199988694,2.31216349688601,9.926580068828734,24.424326674348723,,,4.601112342732519,121.23861216232469
