Evaluation panel and scope,Method,n,Coverage of 1246 (%),MAE (pair-cluster 95% CI),Spearman rho,Bias,Within 10-fold (%)
A. Released sequence+substrate checkpoints; all 1246 records,KcatNet,1246,100.0,0.711 (0.653-0.776),0.465,0.037,74.2
A. Released sequence+substrate checkpoints; all 1246 records,CataPro,1246,100.0,0.796 (0.744-0.852),0.467,-0.134,71.2
A. Released sequence+substrate checkpoints; all 1246 records,UniKP,1246,100.0,0.892 (0.836-0.952),0.433,-0.461,65.5
A. Released sequence+substrate checkpoints; all 1246 records,SELFprot,1246,100.0,0.940 (0.871-1.016),0.374,-0.098,63.7
A. Released sequence+substrate checkpoints; all 1246 records,DLKcat,1246,100.0,0.974 (0.894-1.058),0.308,-0.451,58.4
B. Temperature-conditioned public retraining; all 1246 records,PreTKcat,1246,100.0,0.923 (0.868-0.978),0.392,-0.476,59.8
C. Reaction-aware strictly paired comparison; common 1047 records,KcatNet,1047,84.0,0.719 (0.662-0.776),0.403,0.014,73.6
C. Reaction-aware strictly paired comparison; common 1047 records,TurNuP,1047,84.0,0.713 (0.659-0.767),0.418,0.038,71.5
C. Reaction-aware strictly paired comparison; common 1047 records,PMAK,1047,84.0,0.723 (0.674-0.774),0.443,0.072,77.4
D. Method-specific applicability; achieved subset,KinForm-L,729,58.5,0.784 (0.724-0.846),0.549,-0.33,69.1
D. Method-specific applicability; achieved subset,CatPred,1156,92.8,0.840 (0.773-0.905),0.425,0.041,68.9
E. Structure-aware public retraining; all 1246 records,DEKP-public-retrained,1246,100.0,1.069 (0.999-1.135),0.114,-0.632,50.5
F. Functional-assignment baseline; achieved subset,GO-HKP,1236,99.2,1.031 (0.943-1.121),0.322,0.889,59.6
