method,group_cn,modality,n,coverage_percent,mae_log10,rmse_log10,pearson_log10,spearman_log10,within_1.0_log10_fraction,bias_log10
KcatNet,全量/近全量 sequence+SMILES,sequence + substrate SMILES,978,100.0,0.6875006755170682,1.0040142280352653,0.4661088116207398,0.5105636418215889,0.778118609406953,0.0201624934860824
TurNuP-official,reaction-aware 子集,reaction + enzyme,782,79.95910020449898,0.7036257962608695,1.011489748116987,0.3973622515209254,0.4191639604500434,0.7455242966751918,0.0112844680792838
PMAK,reaction-aware 子集,reaction + enzyme,782,79.95910020449898,0.7257549407900256,1.0143149628421286,0.3777055605887308,0.4259471096644303,0.7672634271099744,0.0434575049690537
CataPro,全量/近全量 sequence+SMILES,sequence + substrate SMILES,978,100.0,0.7802389663621102,1.0080239529743902,0.5054256298159101,0.5115627343094339,0.7239263803680982,-0.2594237642751218
KinForm,模型特定子集,sequence + substrate SMILES,564,57.66871165644172,0.7843416622375952,0.9958397225172444,0.5961929412841569,0.624326523331873,0.7180851063829787,-0.3879589651126286
CatPred,模型特定子集,sequence + substrate SMILES,914,93.4560327198364,0.8494904323162007,1.1858964721339962,0.4054906245261063,0.4053240093426862,0.6925601750547046,0.0191057391481143
PreTKcat,全量/近全量 sequence+SMILES,sequence + substrate SMILES,978,100.0,0.8765661663546207,1.1186631834851488,0.4005734470236556,0.4477195777639384,0.6625766871165644,-0.4146131748737783
UniKP-official,全量/近全量 sequence+SMILES,sequence + substrate SMILES,978,100.0,0.8941481264763633,1.1075727867792662,0.4608470091773156,0.5010273438524574,0.6625766871165644,-0.4969003309919375
SELFprot,全量/近全量 sequence+SMILES,sequence + substrate SMILES,978,100.0,0.9560030382773448,1.2478858901764112,0.3673162008316525,0.3684241583490614,0.6165644171779141,-0.0859203280377986
DLKcat-official,全量/近全量 sequence+SMILES,sequence + substrate SMILES,978,100.0,0.9661012291791978,1.33389106760697,0.3230588410349602,0.3171901023987101,0.6063394683026585,-0.4160308285195949
GO-HKP,功能相似性 GO 赋值基线,GO hierarchy + functional assignment,978,100.0,0.982019755466618,1.3667865668819177,0.3499142626650092,0.4130290554950555,0.6247443762781186,0.849713133097771
DEKP-public-retrained,公开数据重训版,sequence + substrate SMILES + structure,978,100.0,1.0438731006881297,1.2495857118049911,0.1942952507700913,0.1627775261072155,0.5143149284253579,-0.6000727882303785
