method,ecoli,yeast
DLKcat-official,1.05767080200269,0.865079313354571
UniKP-official,0.9570986939610104,0.824699435896527
TurNuP-official,0.7343135819040512,0.6576431398178914
CatPred,0.9073149952698102,0.7755153679890144
CataPro,0.8485810083393963,0.7048422619871686
PMAK,0.7672611009633261,0.6635620043003194
KinForm,0.7925782488059492,0.772977257985056
KcatNet,0.7822460981300412,0.5829750802472722
PreTKcat,0.8747983284822273,0.8785164907170676
DEKP-public-retrained,1.013887722791225,1.0769537434001986
SELFprot,0.97862354558162,0.9310475108642408
GO-HKP,1.2475528267184623,0.6890768187952288
