split,rows,unique_sequences,unique_uniprot,unique_reactant_smiles
random_train,18751,6525,6563,9424
random_val,2084,1568,1575,1704
random_test,2316,1704,1709,1878
iter1_seq40,280,261,263,252
iter1_seq60,449,410,412,384
iter1_seq80,581,522,524,484
iter1_seq99,674,601,603,547
iter2_seq40,244,228,228,217
iter2_seq60,373,343,343,312
iter2_seq80,476,436,436,382
iter2_seq99,566,516,516,448
iter3_seq40,310,289,289,262
iter3_seq60,476,441,441,391
iter3_seq80,579,537,537,457
iter3_seq99,678,629,629,514
iter4_seq40,329,300,300,285
iter4_seq60,502,457,457,420
iter4_seq80,626,567,567,513
iter4_seq99,751,673,673,590
iter5_seq40,371,333,334,323
iter5_seq60,572,521,522,477
iter5_seq80,716,655,656,571
iter5_seq99,807,736,737,628
iter6_seq40,249,229,229,222
iter6_seq60,397,364,364,345
iter6_seq80,516,471,471,434
iter6_seq99,596,541,541,496
iter7_seq40,365,326,327,311
iter7_seq60,569,502,503,472
iter7_seq80,701,620,622,560
iter7_seq99,830,732,734,637
iter8_seq40,189,182,182,168
iter8_seq60,288,278,278,252
iter8_seq80,369,351,351,318
iter8_seq99,441,414,414,372
iter9_seq40,172,163,163,158
iter9_seq60,250,238,238,226
iter9_seq80,314,298,298,276
iter9_seq99,373,354,354,323
iter10_seq40,376,332,332,332
iter10_seq60,575,510,510,486
iter10_seq80,750,657,657,604
iter10_seq99,863,749,749,670
