uniprot_id,status,url,bytes,error
P0A6V1,downloaded,https://alphafold.ebi.ac.uk/files/AF-P0A6V1-F1-model_v6.pdb,283661,
P0AEK2,downloaded,https://alphafold.ebi.ac.uk/files/AF-P0AEK2-F1-model_v6.pdb,150335,
P0C7L2,downloaded,https://alphafold.ebi.ac.uk/files/AF-P0C7L2-F1-model_v6.pdb,245996,
P24224,downloaded,https://alphafold.ebi.ac.uk/files/AF-P24224-F1-model_v6.pdb,85130,
P24240,downloaded,https://alphafold.ebi.ac.uk/files/AF-P24240-F1-model_v6.pdb,315089,
P32099,downloaded,https://alphafold.ebi.ac.uk/files/AF-P32099-F1-model_v6.pdb,222425,
P37623,downloaded,https://alphafold.ebi.ac.uk/files/AF-P37623-F1-model_v6.pdb,129518,
P52061,downloaded,https://alphafold.ebi.ac.uk/files/AF-P52061-F1-model_v6.pdb,125225,
P76083,downloaded,https://alphafold.ebi.ac.uk/files/AF-P76083-F1-model_v6.pdb,301562,
P77397,downloaded,https://alphafold.ebi.ac.uk/files/AF-P77397-F1-model_v6.pdb,361826,
Q46829,downloaded,https://alphafold.ebi.ac.uk/files/AF-Q46829-F1-model_v6.pdb,323270,
