scope,uniprot_id,status,source,target
benchmark,P00330,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P00330.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00330.pdb
benchmark,P00331,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00331.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00331.pdb
benchmark,P00358,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00358.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00358.pdb
benchmark,P00359,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00359.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00359.pdb
benchmark,P00360,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00360.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00360.pdb
benchmark,P00370,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00370.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00370.pdb
benchmark,P00509,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00509.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00509.pdb
benchmark,P00547,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P00547.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00547.pdb
benchmark,P00549,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00549.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00549.pdb
benchmark,P00560,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00560.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00560.pdb
benchmark,P00561,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/AlphaFold/P00561.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00561.pdb
benchmark,P00562,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00562.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00562.pdb
benchmark,P00634,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00634.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00634.pdb
benchmark,P00724,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00724.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00724.pdb
benchmark,P00805,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00805.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00805.pdb
benchmark,P00817,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00817.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00817.pdb
benchmark,P00861,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00861.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00861.pdb
benchmark,P00864,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00864.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00864.pdb
benchmark,P00887,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00887.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00887.pdb
benchmark,P00888,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00888.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00888.pdb
benchmark,P00890,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P00890.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00890.pdb
benchmark,P00904,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00904.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00904.pdb
benchmark,P00909,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00909.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00909.pdb
benchmark,P00912,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00912.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00912.pdb
benchmark,P00924,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P00924.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00924.pdb
benchmark,P00925,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P00925.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00925.pdb
benchmark,P00926,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00926.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00926.pdb
benchmark,P00934,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00934.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00934.pdb
benchmark,P00935,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00935.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00935.pdb
benchmark,P00936,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00936.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00936.pdb
benchmark,P00942,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00942.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00942.pdb
benchmark,P00950,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P00950.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00950.pdb
benchmark,P00963,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P00963.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P00963.pdb
benchmark,P03962,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P03962.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P03962.pdb
benchmark,P04079,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P04079.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04079.pdb
benchmark,P04385,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P04385.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04385.pdb
benchmark,P04391,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P04391.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04391.pdb
benchmark,P04693,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P04693.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04693.pdb
benchmark,P04801,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P04801.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04801.pdb
benchmark,P04805,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P04805.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04805.pdb
benchmark,P04806,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/RCSB PDB/P04806.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04806.pdb
benchmark,P04807,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P04807.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04807.pdb
benchmark,P04825,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P04825.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04825.pdb
benchmark,P04968,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P04968.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P04968.pdb
benchmark,P05042,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P05042.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P05042.pdb
benchmark,P05194,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/AlphaFold/P05194.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P05194.pdb
benchmark,P05459,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P05459.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P05459.pdb
benchmark,P05637,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P05637.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P05637.pdb
benchmark,P05694,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P05694.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P05694.pdb
benchmark,P05793,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P05793.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P05793.pdb
benchmark,P06169,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P06169.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P06169.pdb
benchmark,P06208,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P06208.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P06208.pdb
benchmark,P06715,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P06715.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P06715.pdb
benchmark,P06960,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/Km/AlphaFold/P06960.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P06960.pdb
benchmark,P06968,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P06968.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P06968.pdb
benchmark,P06987,exists,external_methods/DEKP/structures/benchmark/AlphaFold/P06987.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P06987.pdb
benchmark,P06999,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/RCSB PDB/P06999.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P06999.pdb
benchmark,P07023,exists,external_methods/DEKP/structures/author_archive/protein structure datasets/kcat/AlphaFold/P07023.pdb,external_methods/DEKP/structures/benchmark/AlphaFold/P07023.pdb
