method,scope,modality,group_cn,group_note,n,coverage_percent,mae_log10,rmse_log10,pearson_log10,spearman_log10,bias_log10,within_1.0_log10_fraction,role
KcatNet,Broad sequence+SMILES,sequence + substrate SMILES,全量/近全量 sequence+SMILES,输入为酶序列和单底物 SMILES；除无效 SMILES 外基本覆盖整个 benchmark。,977,99.89775051124744,0.6840685656010199,0.996175291797222,0.4737658652506433,0.5149191122564374,0.0160473979323057,0.7789150460593655,current
TurNuP-official,Reaction-aware subset,reaction + enzyme,reaction-aware 子集,输入需要完整反应信息，即底物侧 SMILES、产物侧 SMILES 和酶序列。,780,79.75460122699386,0.7008552194051282,1.006128653140317,0.4024289714873291,0.4223572976927363,0.0067386570487179,0.7461538461538462,current
PMAK,Reaction-aware subset,reaction + enzyme,reaction-aware 子集,输入需要完整反应信息，即底物侧 SMILES、产物侧 SMILES 和酶序列。,780,79.75460122699386,0.7226630737151282,1.0091012477051045,0.3827831597186651,0.4302729326813397,0.0386161572894871,0.767948717948718,current
CataPro,Broad sequence+SMILES,sequence + substrate SMILES,全量/近全量 sequence+SMILES,输入为酶序列和单底物 SMILES；除无效 SMILES 外基本覆盖整个 benchmark。,977,99.89775051124744,0.7763091979555361,0.9976517492607953,0.5176537826227122,0.515836133953702,-0.2644176705840881,0.7246673490276356,current
KinForm,Model-specific subset,sequence + substrate SMILES,模型特定子集,方法输入或官方推理流程有额外限制，因此只在可被该模型有效处理的子集上评估。,563,57.56646216768916,0.782720775494884,0.9893531499095606,0.6028498070295233,0.6296716857294177,-0.3904849688709397,0.7158081705150977,current
MTLKP-official,Broad sequence+SMILES,sequence + substrate SMILES,全量/近全量 sequence+SMILES,输入为酶序列和单底物 SMILES；除无效 SMILES 外基本覆盖整个 benchmark。,977,99.89775051124744,0.8448537228159059,1.0941283203338872,0.4627788460917342,0.3945581103171796,-0.3893264660932856,0.6417604912998977,current
CatPred,Model-specific subset,sequence + substrate SMILES,模型特定子集,方法输入或官方推理流程有额外限制，因此只在可被该模型有效处理的子集上评估。,913,93.35378323108384,0.8486958449228428,1.1854453623209176,0.4050667156831472,0.4043502728667954,0.0174867938355975,0.6933187294633077,current
PreTKcat,Broad sequence+SMILES,sequence + substrate SMILES,全量/近全量 sequence+SMILES,输入为酶序列和单底物 SMILES；除无效 SMILES 外基本覆盖整个 benchmark。,977,99.89775051124744,0.8623113911976614,1.1104619875212511,0.4087455170609836,0.4580546807053376,-0.4123925443344938,0.6489252814738997,current
UniKP-official,Broad sequence+SMILES,sequence + substrate SMILES,全量/近全量 sequence+SMILES,输入为酶序列和单底物 SMILES；除无效 SMILES 外基本覆盖整个 benchmark。,977,99.89775051124744,0.8913811828830771,1.0995012549101877,0.4779747143359812,0.5106005175125784,-0.5018753652680604,0.6622313203684749,current
SELFprot,Broad sequence+SMILES,sequence + substrate SMILES,全量/近全量 sequence+SMILES,输入为酶序列和单底物 SMILES；除无效 SMILES 外基本覆盖整个 benchmark。,977,99.89775051124744,0.9540535378040936,1.2451654407836708,0.3694409651742065,0.3706009877809467,-0.0889362865210716,0.617195496417605,current
DLKcat-official,Broad sequence+SMILES,sequence + substrate SMILES,全量/近全量 sequence+SMILES,输入为酶序列和单底物 SMILES；除无效 SMILES 外基本覆盖整个 benchmark。,977,99.89775051124744,0.9609739025713386,1.3208100893456407,0.3344547690466997,0.3208806283109257,-0.4225728314144705,0.6069600818833163,current
GO-HKP,Function-assignment GO baseline,GO hierarchy + functional assignment,功能相似性 GO 赋值基线,不是深度回归模型，而是基于 GO 功能层级给反应/基因赋参考 kcat；E. coli 使用本地 DeepGO-SE 反应赋值，yeast 使用 UniProt GO 注释补齐。,978,100.0,0.982019755466618,1.3667865668819177,0.3499142626650092,0.4130290554950555,0.849713133097771,0.6247443762781186,current_baseline
DEKP-public-retrained,Public-data retrained,sequence + substrate SMILES + structure,公开数据重训版,不是原论文官方最优权重，而是用公开数据和当前可复现流程重新训练/补齐后的版本。,977,99.89775051124744,1.045420481228409,1.2458421760979286,0.2111985982679909,0.2374921877138138,-0.6058029253924371,0.5056294779938587,current_retrained
MTLKP-legacy-overlap,Legacy overlap,early E. coli overlap,历史 overlap 追溯,早期 E. coli 原型输出与当前 benchmark 的重叠记录，只用于追溯，不进入主文正式排名。,76,7.770961145194274,0.6544712733502365,0.8633901866743813,0.5223268266573513,0.5133037581911148,-0.2572624465021453,0.8026315789473685,legacy
TurNuP-legacy-overlap,Legacy overlap,early E. coli reaction-level overlap,历史 overlap 追溯,早期 E. coli 原型输出与当前 benchmark 的重叠记录，只用于追溯，不进入主文正式排名。,338,34.56032719836401,0.707317840165082,1.0213483611391336,0.4682566817536384,0.5024637309201038,0.186997284650642,0.7337278106508875,legacy
