method,ecoli,yeast
DLKcat-official,1.0480656761587452,0.865079304556818
UniKP-official,0.9497081667526832,0.8271587834395541
MTLKP-official,0.809604477978789,0.8836657945505376
TurNuP-official,0.7290047085747864,0.658630985650641
CatPred,0.9060536735451152,0.7754609116195922
CataPro,0.8412156925361823,0.7048422619871686
PMAK,0.7622340627175213,0.6633065902115385
KinForm,0.7887786030057763,0.774388067610703
KcatNet,0.7758820417853203,0.5829750176303496
PreTKcat,0.8609089126903894,0.8638556255970663
DEKP-public-retrained,1.0425418138043676,1.0485901107361704
SELFprot,0.9749476652912232,0.9310475307645012
GO-HKP,1.2475528267184623,0.6890768187952288
