species,substrate_role_group,substrate_role_class,substrate_role_confidence,substrates,substrates_with_smiles,entries
ecoli,carrier_linked_variable,carrier_linked_metabolite,multiple_evidence_types,6,6,67
ecoli,carrier_linked_variable,carrier_linked_metabolite,name_only,54,51,130
ecoli,currency_or_cofactor,activated_sugar_precursor,multiple_evidence_types,1,1,14
ecoli,currency_or_cofactor,carrier_cofactor,multiple_evidence_types,1,1,63
ecoli,currency_or_cofactor,energy_nucleotide,multiple_evidence_types,15,15,599
ecoli,currency_or_cofactor,gas_currency,multiple_evidence_types,6,6,69
ecoli,currency_or_cofactor,nitrogen_currency,multiple_evidence_types,3,3,21
ecoli,currency_or_cofactor,nucleotide_currency,multiple_evidence_types,12,12,63
ecoli,currency_or_cofactor,one_carbon_cofactor,multiple_evidence_types,5,5,34
ecoli,currency_or_cofactor,phosphate_currency,multiple_evidence_types,4,4,69
ecoli,currency_or_cofactor,proton,multiple_evidence_types,3,3,765
ecoli,currency_or_cofactor,reactive_currency,multiple_evidence_types,3,3,18
ecoli,currency_or_cofactor,redox_cofactor,multiple_evidence_types,11,11,407
ecoli,currency_or_cofactor,solvent,multiple_evidence_types,3,3,942
ecoli,currency_or_cofactor,vitamin_cofactor,multiple_evidence_types,2,2,9
ecoli,other_reactant,other_reactant,not_registry_matched,1623,1462,5527
yeast,carrier_linked_variable,carrier_linked_metabolite,multiple_evidence_types,11,11,69
yeast,carrier_linked_variable,carrier_linked_metabolite,name_only,136,125,355
yeast,currency_or_cofactor,activated_sugar_precursor,multiple_evidence_types,2,2,13
yeast,currency_or_cofactor,carrier_cofactor,multiple_evidence_types,8,8,79
yeast,currency_or_cofactor,energy_nucleotide,multiple_evidence_types,35,35,524
yeast,currency_or_cofactor,gas_currency,multiple_evidence_types,6,6,71
yeast,currency_or_cofactor,nitrogen_currency,multiple_evidence_types,2,2,12
yeast,currency_or_cofactor,nucleotide_currency,multiple_evidence_types,8,8,21
yeast,currency_or_cofactor,one_carbon_cofactor,multiple_evidence_types,12,12,65
yeast,currency_or_cofactor,phosphate_currency,multiple_evidence_types,9,9,45
yeast,currency_or_cofactor,proton,multiple_evidence_types,14,14,751
yeast,currency_or_cofactor,reactive_currency,multiple_evidence_types,4,4,18
yeast,currency_or_cofactor,redox_cofactor,multiple_evidence_types,23,23,390
yeast,currency_or_cofactor,solvent,multiple_evidence_types,14,14,1057
yeast,currency_or_cofactor,vitamin_cofactor,multiple_evidence_types,1,1,1
yeast,other_reactant,other_reactant,not_registry_matched,1602,1289,4345
