species,substrate_id,substrate_name,substrate_bigg_id,substrate_kegg_id,substrate_chebi_id,substrate_metanetx_id,substrate_pubchem_cid,substrate_parent_inchikey_connectivity,structure_standardization_status,prior_role_class,substrate_role_class,substrate_role_group,substrate_role_registry_name,substrate_role_evidence,substrate_role_evidence_types,substrate_role_confidence,registry_structure_consistency,role_class_changed,n_reactions,n_entries
ecoli,10fthf_c,10-Formyltetrahydrofolate,10fthf,C00234,CHEBI:11304;CHEBI:15637;CHEBI:19108;CHEBI:19109;CHEBI:57454;CHEBI:698,MNXM237,135398556,AUFGTPPARQZWDO,ok,one_carbon_cofactor,one_carbon_cofactor,currency_or_cofactor,10-formyltetrahydrofolate,normalized_name;bigg_ids:10fthf;kegg_ids:c00234;chebi_ids:chebi:15637;metanetx_ids:mnxm237;pubchem_cids:135398556,normalized_name;bigg_ids;kegg_ids;chebi_ids;metanetx_ids;pubchem_cids,multiple_evidence_types,not_assessable,False,5,5
ecoli,12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",12dgr120,,,MNXM4939,151838,OQQOAWVKVDAJOI,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",12dgr140,,,MNXM146479,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,12dgr141_c,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",12dgr141,,,MNXM4940,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,12dgr160_c,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",12dgr160,,,MNXM3132,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,12dgr161_c,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",12dgr161,,,MNXM3774,,HSQHRRHRYJNSOC,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",12dgr180,,,MNXM4217,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,12dgr181_c,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",12dgr181,,,MNXM3775,53478063,JQTCHIYVEDEVBR,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,12ppd__R_e,"(R)-Propane-1,2-diol",12ppd__R,C02912,CHEBI:18705;CHEBI:28972;CHEBI:352;CHEBI:44863,MNXM90191,259994,DNIAPMSPPWPWGF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,12ppd__R_p,"(R)-Propane-1,2-diol",12ppd__R,C02912,CHEBI:18705;CHEBI:28972;CHEBI:352;CHEBI:44863,MNXM90191,259994,DNIAPMSPPWPWGF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,12ppd__S_c,"(S)-Propane-1,2-diol",12ppd__S,C02917,CHEBI:18799;CHEBI:29002;CHEBI:440;CHEBI:45065,MNXM1255,439846,DNIAPMSPPWPWGF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,12ppd__S_e,"(S)-Propane-1,2-diol",12ppd__S,C02917,CHEBI:18799;CHEBI:29002;CHEBI:440;CHEBI:45065,MNXM1255,439846,DNIAPMSPPWPWGF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,12ppd__S_p,"(S)-Propane-1,2-diol",12ppd__S,C02917,CHEBI:18799;CHEBI:29002;CHEBI:440;CHEBI:45065,MNXM1255,439846,DNIAPMSPPWPWGF,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,13dpg_c,3-Phospho-D-glyceroyl phosphate,13dpg,C00236,CHEBI:11881;CHEBI:16001;CHEBI:1658;CHEBI:20189;CHEBI:57604,MNXM261,439191,LJQLQCAXBUHEAZ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
ecoli,13ppd_c,"1,3-Propanediol",13ppd,C02457,CHEBI:14902;CHEBI:16109;CHEBI:26286;CHEBI:44868;CHEBI:8471,MNXM2861,10442,YPFDHNVEDLHUCE,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,14dhncoa_c,"1,4-dihydroxy-2-napthoyl-CoA",14dhncoa,,,MNXM147663,,,missing_smiles,carrier_linked_metabolite,carrier_linked_metabolite,carrier_linked_variable,,normalized_name:coa_linked,normalized_name,name_only,not_assessable,False,1,1
ecoli,14glucan_c,"1,4-alpha-D-glucan",14glucan,,,MNXM2905,79025,WQZGKKKJIJFFOK,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,14glucan_e,"1,4-alpha-D-glucan",14glucan,,,MNXM2905,79025,WQZGKKKJIJFFOK,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,14glucan_p,"1,4-alpha-D-glucan",14glucan,,,MNXM2905,79025,WQZGKKKJIJFFOK,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
ecoli,15dap_c,"1,5-Diaminopentane",15dap,C01672,CHEBI:13928;CHEBI:18127;CHEBI:22974;CHEBI:3288;CHEBI:44370;CHEBI:58384,MNXM943,273,VHRGRCVQAFMJIZ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
ecoli,15dap_e,"1,5-Diaminopentane",15dap,C01672,CHEBI:13928;CHEBI:18127;CHEBI:22974;CHEBI:3288;CHEBI:44370;CHEBI:58384,MNXM943,273,VHRGRCVQAFMJIZ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,15dap_p,"1,5-Diaminopentane",15dap,C01672,CHEBI:13928;CHEBI:18127;CHEBI:22974;CHEBI:3288;CHEBI:44370;CHEBI:58384,MNXM943,273,VHRGRCVQAFMJIZ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
ecoli,1agpe120_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),1agpe120,,,MNXM32692,,IZDRGPDUDLWAGR,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpe140_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),1agpe140,,CHEBI:84299;CHEBI:85215,MNXM32693,86583448,RPXHXZNGZBHSMJ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpe141_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),1agpe141,,,MNXM6599,,IZDRGPDUDLWAGR,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpe160_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),1agpe160,,CHEBI:73004;CHEBI:73134,MNXM32511,58177710,YVYMBNSKXOXSKW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpe161_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),1agpe161,,,MNXM6601,,IZDRGPDUDLWAGR,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpe180_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),1agpe180,C21484,CHEBI:75036;CHEBI:83047,MNXM32694,46891690,BBYWOYAFBUOUFP,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpe181_p,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),1agpe181,,,MNXM9584,,,inchikey_unavailable,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpg120_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),1agpg120,,,MNXM32695,90657520,IACXMECMZISNLR,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpg140_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),1agpg140,,CHEBI:72826;CHEBI:73092,MNXM6603,71296220,LUTDZDAPSDZVAL,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpg141_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),1agpg141,,,MNXM6604,176454253,JPZRBXGDTBKBHT,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpg160_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),1agpg160,,CHEBI:72825;CHEBI:73093;CHEBI:75158;CHEBI:75376,MNXM6605,71296200,BVJSKAUUFXBDOB,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpg161_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),1agpg161,,,MNXM6606,90657520,IACXMECMZISNLR,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpg180_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),1agpg180,,CHEBI:72827;CHEBI:73091,MNXM6607,71296221,HFJVKBVEKQHVTO,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1agpg181_p,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),1agpg181,,CHEBI:72828;CHEBI:72952,MNXM73868,71296157,FQQQKGAFQIIGLQ,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1ddecg3p_c,1-dodecanoyl-sn-glycerol 3-phosphate,1ddecg3p,,CHEBI:62840;CHEBI:72682,MNXM4232,52929750,STTKJLVEXMKLNA,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1ddecg3p_p,1-dodecanoyl-sn-glycerol 3-phosphate,1ddecg3p,,CHEBI:62840;CHEBI:72682,MNXM4232,52929750,STTKJLVEXMKLNA,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1hdec9eg3p_c,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,1hdec9eg3p,,,MNXM91047,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1hdec9eg3p_p,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,1hdec9eg3p,,,MNXM91047,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1hdecg3p_c,1-hexadecanoyl-sn-glycerol 3-phosphate,1hdecg3p,,,MNXM90586,,YNDYKPRNFWPPFU,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1hdecg3p_p,1-hexadecanoyl-sn-glycerol 3-phosphate,1hdecg3p,,,MNXM90586,,YNDYKPRNFWPPFU,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1odec11eg3p_c,1-octadec-11-enoyl-sn-glycerol 3-phosphate,1odec11eg3p,,,MNXM91049,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1odec11eg3p_p,1-octadec-11-enoyl-sn-glycerol 3-phosphate,1odec11eg3p,,,MNXM91049,,,missing_smiles,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1odecg3p_c,1-octadecanoyl-sn-glycerol 3-phosphate,1odecg3p,,CHEBI:74565;CHEBI:74850,MNXM32950,49859619,LAYXSTYJRSVXIH,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1odecg3p_p,1-octadecanoyl-sn-glycerol 3-phosphate,1odecg3p,,CHEBI:74565;CHEBI:74850,MNXM32950,49859619,LAYXSTYJRSVXIH,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1pyr5c_c,1-Pyrroline-5-carboxylate,1pyr5c,C03912;C04322,CHEBI:11297;CHEBI:11689;CHEBI:12409;CHEBI:1372;CHEBI:15893;CHEBI:17388;CHEBI:18727;CHEBI:19095;CHEBI:19873;CHEBI:26458;CHEBI:29066;CHEBI:371,MNXM1617,1196,DWAKNKKXGALPNW,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,2,2
ecoli,1tdec7eg3p_c,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,1tdec7eg3p,,,MNXM91053,146036925,ABWKYTQKHWCOFM,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1tdec7eg3p_p,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,1tdec7eg3p,,,MNXM91053,146036925,ABWKYTQKHWCOFM,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1tdecg3p_c,1-tetradecanoyl-sn-glycerol 3-phosphate,1tdecg3p,,CHEBI:62833;CHEBI:72683,MNXM3426,9547180,FAZBDRGXCKPVJU,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,1tdecg3p_p,1-tetradecanoyl-sn-glycerol 3-phosphate,1tdecg3p,,CHEBI:62833;CHEBI:72683,MNXM3426,9547180,FAZBDRGXCKPVJU,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,1,1
ecoli,23camp_e,"2',3'-Cyclic AMP",23camp,C02353,CHEBI:19212;CHEBI:27844;CHEBI:40469;CHEBI:60879;CHEBI:823,MNXM2598,101812,KMYWVDDIPVNLME,ok,other_reactant,other_reactant,other_reactant,,,,not_registry_matched,not_assessable,False,4,4
