species,unresolved_reason,substrates,entries,blocked_truth_rows,blocked_catpred_candidate_entries
ecoli,ambiguous_or_variable_structure,6,7,0,7
ecoli,curated_lipid_needed,28,62,0,62
ecoli,metal_cluster_or_cofactor_complex,10,12,0,7
ecoli,no_database_mapping,63,114,0,96
ecoli,nucleic_acid_polymer,2,2,1,2
ecoli,polymer_or_glycan,6,26,0,23
ecoli,protein_or_redox_carrier,49,144,0,70
yeast,curated_lipid_needed,230,606,0,583
yeast,no_database_mapping,41,49,0,48
yeast,nucleic_acid_polymer,40,42,22,41
yeast,polymer_or_glycan,4,11,0,11
yeast,protein_or_redox_carrier,9,28,4,11
