reaction,gpr,GO_HKP,DLKcat,MTLKP,TurNup,UniKP,database,fill_method
12PPDRtex_num1,b1377,96.2904209055866,,,,,,112645.641475366
12PPDRtex_num2,b0241,33.2825,,,,,,112645.641475366
12PPDRtex_num3,b0929,94.8168,,,,,,112645.641475366
12PPDRtex_num4,b2215,96.2904209055866,,,,,,112645.641475366
12PPDRtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366
12PPDRtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366
12PPDRtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366
12PPDRtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366
12PPDStex_num1,b1377,96.2904209055866,,,,,,112645.641475366
12PPDStex_num2,b0241,33.2825,,,,,,112645.641475366
12PPDStex_num3,b0929,94.8168,,,,,,112645.641475366
12PPDStex_num4,b2215,96.2904209055866,,,,,,112645.641475366
12PPDStex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366
12PPDStex_reverse_num2,b0241,33.2825,,,,,,112645.641475366
12PPDStex_reverse_num3,b0929,94.8168,,,,,,112645.641475366
12PPDStex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366
13PPDH2,b3011,121.175352563932,21.2411,18.234058,10.98911190032959,5.216962663451387,,112645.641475366
13PPDH2_reverse,b3011,121.175352563932,1.3259,9.66856,14.06663990020752,4.833523926798825,,112645.641475366
14GLUCANabcpp,b4035 and b4032 and b4034 and b4033,104.73241798245591,32.4956,,5.735721111297607,25.827463201057576,,112645.641475366
14GLUCANtexi,b4036,117.94906666660007,,,,,,
23CAMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366
23CAMPtex_num2,b0241,33.2825,,,,,,112645.641475366
23CAMPtex_num3,b0929,94.8168,,,,,,112645.641475366
23CAMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366
23CAMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366
23CAMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366
23CAMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366
23CAMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366
23CCMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366
23CCMPtex_num2,b0241,33.2825,,,,,,112645.641475366
23CCMPtex_num3,b0929,94.8168,,,,,,112645.641475366
23CCMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366
23CCMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366
23CCMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366
23CCMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366
23CCMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366
23CGMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366
23CGMPtex_num2,b0241,33.2825,,,,,,112645.641475366
23CGMPtex_num3,b0929,94.8168,,,,,,112645.641475366
23CGMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366
23CGMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366
23CGMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366
23CGMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366
23CGMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366
23CUMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366
23CUMPtex_num2,b0241,33.2825,,,,,,112645.641475366
23CUMPtex_num3,b0929,94.8168,,,,,,112645.641475366
23CUMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366
23CUMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366
23CUMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366
23CUMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366
23CUMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366
23DAPPAtex_num1,b1377,96.2904209055866,,,,,,112645.641475366
23DAPPAtex_num2,b0241,33.2825,,,,,,112645.641475366
23DAPPAtex_num3,b0929,94.8168,,,,,,112645.641475366
23DAPPAtex_num4,b2215,96.2904209055866,,,,,,112645.641475366
23DAPPAtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366
23DAPPAtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366
23DAPPAtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366
23DAPPAtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366
23DOGULNt4pp,b3579 and b3577 and b3578,97.76404181117316,18.0369,5.0895267,28.391902923583984,2.426765719243258,,112645.641475366
