reaction,gpr,GO_HKP,DLKcat,MTLKP,TurNup,UniKP,database,fill_method,database_clean,reaction_type,is_complex,base_reaction,is_reverse,Ensemble_Geometric_Mean,Ensemble_Arithmetic_Mean,Ensemble_Median,Ensemble_Weighted
12PPDRtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,12PPDRtex,False,,,,
12PPDRtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,12PPDRtex,False,,,,
12PPDRtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,12PPDRtex,False,,,,
12PPDRtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,12PPDRtex,False,,,,
12PPDRtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,12PPDRtex,True,,,,
12PPDRtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,12PPDRtex,True,,,,
12PPDRtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,12PPDRtex,True,,,,
12PPDRtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,12PPDRtex,True,,,,
12PPDStex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,12PPDStex,False,,,,
12PPDStex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,12PPDStex,False,,,,
12PPDStex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,12PPDStex,False,,,,
12PPDStex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,12PPDStex,False,,,,
12PPDStex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,12PPDStex,True,,,,
12PPDStex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,12PPDStex,True,,,,
12PPDStex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,12PPDStex,True,,,,
12PPDStex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,12PPDStex,True,,,,
13PPDH2,b3011,121.175352563932,21.2411,18.234058,10.98911190032959,5.216962663451387,,112645.641475366,,Metabolic (Core),False,13PPDH2,False,12.207034301861743,13.920308140945245,14.611584950164795,12.207034301861743
13PPDH2_reverse,b3011,121.175352563932,1.3259,9.66856,14.06663990020752,4.833523926798825,,112645.641475366,,Metabolic (Reverse),False,13PPDH2,True,5.43352541107087,7.473655956751586,7.2510419633994125,5.43352541107087
14GLUCANabcpp,b4035 and b4032 and b4034 and b4033,104.73241798245591,32.4956,,5.735721111297607,25.827463201057576,,112645.641475366,,Metabolic (Core),True,14GLUCANabcpp,False,16.884885218057985,21.352928104118394,25.827463201057576,8.329589222706849
14GLUCANtexi,b4036,117.94906666660007,,,,,,,,Transport,False,14GLUCANtexi,False,,,,
23CAMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CAMPtex,False,,,,
23CAMPtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23CAMPtex,False,,,,
23CAMPtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23CAMPtex,False,,,,
23CAMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CAMPtex,False,,,,
23CAMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CAMPtex,True,,,,
23CAMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23CAMPtex,True,,,,
23CAMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23CAMPtex,True,,,,
23CAMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CAMPtex,True,,,,
23CCMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CCMPtex,False,,,,
23CCMPtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23CCMPtex,False,,,,
23CCMPtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23CCMPtex,False,,,,
23CCMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CCMPtex,False,,,,
23CCMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CCMPtex,True,,,,
23CCMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23CCMPtex,True,,,,
23CCMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23CCMPtex,True,,,,
23CCMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CCMPtex,True,,,,
23CGMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CGMPtex,False,,,,
23CGMPtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23CGMPtex,False,,,,
23CGMPtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23CGMPtex,False,,,,
23CGMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CGMPtex,False,,,,
23CGMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CGMPtex,True,,,,
23CGMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23CGMPtex,True,,,,
23CGMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23CGMPtex,True,,,,
23CGMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CGMPtex,True,,,,
23CUMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CUMPtex,False,,,,
23CUMPtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23CUMPtex,False,,,,
23CUMPtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23CUMPtex,False,,,,
23CUMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CUMPtex,False,,,,
23CUMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CUMPtex,True,,,,
23CUMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23CUMPtex,True,,,,
23CUMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23CUMPtex,True,,,,
23CUMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23CUMPtex,True,,,,
23DAPPAtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23DAPPAtex,False,,,,
23DAPPAtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23DAPPAtex,False,,,,
23DAPPAtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23DAPPAtex,False,,,,
23DAPPAtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23DAPPAtex,False,,,,
23DAPPAtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,23DAPPAtex,True,,,,
23DAPPAtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,23DAPPAtex,True,,,,
23DAPPAtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,23DAPPAtex,True,,,,
